,RegionID,RegionName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01
0,9,California,1,99658.0,99427.0,99266.0,99133.0,98957.0,98757.0,98644.0,98628.0,98662.0,98566.0,98449.0,98420.0,98571.0,98781.0,98949.0,99261.0,99755.0,100409.0,100971.0,101535.0,102186.0,103114.0,104142.0,105163.0,106095.0,107037.0,108044.0,108921.0,109857.0,110800.0,111847.0,112803.0,113637.0,114526.0,115562.0,116618.0,117591.0,118478.0,119473.0,120526.0,121412.0,122255.0,123311.0,124571.0,125999.0,127402.0,128768.0,130138.0,131666.0,133423.0,135322.0,137248.0,139297.0,141432.0,143476.0,145508.0,147569.0,149545.0,151586.0,153729.0,155972.0,157975.0,159726.0,161314.0,162925.0,164482.0,166102.0,167687.0,169203.0,170781.0,172453.0,174213.0,176108.0,178138.0,180502.0,183165.0,185967.0,188747.0,191530.0,194461.0,197539.0,200359.0,202927.0,205450.0,207993.0,210565.0,212720.0,215216.0,218007.0,221260.0,224431.0,227872.0,231242.0,235365.0,239796.0,244525.0,249200.0,254434.0,260472.0,266292.0,271506.0,276440.0,281388.0,286107.0,290918.0,295292.0,299897.0,304478.0,309457,313958,317964,322077,326443,330913,335152,338522,341568,344013,346131,347935,349158,350450,351009,350930,350384,349154,348158,347202,346472,345610,344509,343220,341807,339743,337525,334837,331959,328705,324868,321413,317129,313047,307744,302042,296142,290082,284873,279391,274262,268976,263650,257468,251221,245769,242119,238712,234871,231460,228363,226304,224539,223477,222963,223331,224224,224153,223011,222171,222044,222179,220811,218919,216894,215096,213120,210537,208254,206363,204937,203156,201145,198477,196815,195488,194118,192585,191009,190418,189527,188895,188333,188246,188618,189739,191174,192844,194840,197131,200100,202974,206637,210501,214797,219727,225170,230847,236534,242020,247694,252705,256954,260593,263811,266999,269845,271566,272703,273342,274172,275494,276028,277007,277996,280167,281916,283511,285239,287959,290282,292733,294588,296432,298604,301130,303807,305862,308603,311350,313831,315183,317154,318971,321080,322754,325098,327209,329696,331699,333446,335202,337023,339368,341377,343993,346720,349329,351647,354361,357274,360820,364403,368063,371526,374783,377522,379601,381489,383323,384927,385768,386526,387032,386798,386041,384986,384349,384331,384495,384712,385174,385844,386995,388100,389316,391242,393688
1,54,Texas,2,65696.0,65751.0,65817.0,65653.0,65897.0,66030.0,66450.0,66573.0,66718.0,66707.0,66784.0,66826.0,66734.0,66605.0,66540.0,66718.0,66412.0,66364.0,65976.0,65996.0,66143.0,66491.0,66893.0,67384.0,67709.0,68290.0,68702.0,69362.0,69895.0,70280.0,70612.0,70962.0,71147.0,71326.0,71522.0,71709.0,72059.0,72152.0,72403.0,72284.0,72275.0,72261.0,72353.0,72485.0,72456.0,72546.0,72616.0,72838.0,72787.0,72750.0,72531.0,72816.0,73013.0,73307.0,73306.0,73487.0,73832.0,74183.0,74148.0,73997.0,73949.0,74022.0,74021.0,73766.0,73561.0,73445.0,73661.0,73434.0,73312.0,72758.0,72864.0,72502.0,72794.0,72904.0,73414.0,73851.0,74095.0,74201.0,74082.0,74460.0,74472.0,74575.0,74416.0,74646.0,74313.0,73789.0,73535.0,73316.0,73433.0,73309.0,73357.0,73380.0,73564.0,73927.0,74091.0,74636.0,75112.0,75848.0,76015.0,76084.0,76178.0,76245.0,76601.0,76430.0,76527.0,76663.0,76966.0,77119.0,77029,76981,76740,76827,76959,77228,77216,77316,77606,77828,78212,78114,78100,78145,78487,78755,78674,78881,78962,79199,79063,79140,78828,78661,78828,78995,78975,78781,78727,78791,78683,78887,78660,78416,77949,77858,77564,77229,77005,76818,76645,76190,75880,75169,74808,74316,74338,74153,74059,73832,73636,73475,73186,72890,72582,72530,72504,72457,72270,72062,71857,71701,71424,70975,70574,70227,69981,69668,69365,69052,68631,68170,67776,67456,67235,67110,67167,67254,67332,67282,67236,67187,67269,67416,67473,67552,67734,68065,68252,68347,68464,68694,69022,69414,69869,70421,71089,71729,72173,72636,73153,73837,74418,74984,75410,75935,76481,76927,77321,77696,78346,78819,79411,79880,80424,81025,81701,82360,82856,83406,83934,84505,84952,85432,85941,86499,87168,87560,87935,88268,88836,89457,90117,90813,91517,92334,92909,93512,94096,95027,96002,96747,97355,97899,98496,99094,99665,100275,100753,101183,101653,102323,103050,103724,104350,105066,105912,106750,107487,108072,108745,109233,109869,110376,111163,111849,112552,113028,113452,113844,114297,114779,115274,115890,116322,116629,116628,116739
2,43,New York,3,135383.0,135184.0,135000.0,134763.0,134447.0,134173.0,134097.0,134183.0,134366.0,134534.0,134828.0,135175.0,135447.0,135744.0,136059.0,136470.0,137011.0,137602.0,137999.0,138408.0,138822.0,139471.0,139854.0,140157.0,140351.0,140637.0,141051.0,141519.0,142225.0,142917.0,143709.0,144274.0,144781.0,145113.0,145672.0,146359.0,147280.0,148279.0,149268.0,150516.0,151541.0,152635.0,153551.0,154433.0,155285.0,156130.0,157441.0,158841.0,160360.0,161709.0,163248.0,164661.0,165842.0,166819.0,167938.0,169489.0,171219.0,172925.0,174392.0,175916.0,177447.0,178983.0,180288.0,181585.0,183120.0,184873.0,186701.0,188405.0,189973.0,191678.0,193147.0,194425.0,195786.0,197296.0,198888.0,200394.0,202052.0,203904.0,205686.0,207613.0,209673.0,211842.0,214179.0,216917.0,219311.0,221701.0,224173.0,226840.0,229557.0,231758.0,234100.0,236075.0,238172.0,240260.0,242465.0,244575.0,246945.0,249541.0,252420.0,255452.0,258330.0,261694.0,264848.0,268321.0,271360.0,274664.0,277996.0,281442.0,284983,288316,291442,294542,298026,301408,305072,308377,311904,314985,317612,319408,320770,322145,323712,324823,325188,325103,324551,324249,324262,324138,324222,324623,325179,325651,325432,325307,325157,325197,325512,325721,325693,326008,325948,325664,324947,323628,322321,320719,319742,318338,316275,313769,311043,307272,303427,300001,297204,295274,292853,290810,288077,286298,285525,285512,285177,285696,286390,286618,286600,286327,287299,287870,288370,288160,287532,286105,284740,283154,282344,282478,282341,281754,280244,279239,278654,278314,277539,277080,276967,277126,276406,274781,273621,272991,273071,273045,273214,273306,273745,274200,274805,275169,275850,276957,278119,279350,280397,281665,282565,283380,284383,285729,286962,288355,290030,292001,293668,294967,295815,296365,297395,298859,300315,301225,302381,304620,306810,308444,309118,309913,311178,312644,314084,315270,316372,317787,318846,317809,316579,315570,316773,317791,318851,319756,320547,321110,321648,322348,323456,325354,327095,328803,329926,331674,333720,335931,337969,340221,342540,344634,346236,347952,349956,351981,353584,354995,356062,356971,357743,358801,359783,360908,361586,362154,362480,363027,363584,363921,364269,364602,365075,365189,365240,365143,365448,365565
3,14,Florida,4,54759.0,54852.0,54957.0,55065.0,55156.0,55197.0,55224.0,55269.0,55320.0,55266.0,55257.0,55269.0,55404.0,55517.0,55623.0,55713.0,55814.0,55925.0,56040.0,56135.0,56262.0,56617.0,56908.0,57124.0,57113.0,57155.0,57132.0,57140.0,57187.0,57431.0,57717.0,57980.0,58172.0,58212.0,58292.0,58391.0,58605.0,58825.0,59172.0,59538.0,59882.0,60004.0,60116.0,60280.0,60480.0,60723.0,60977.0,61310.0,61691.0,62034.0,62390.0,62688.0,62995.0,63366.0,63739.0,64149.0,64585.0,65078.0,65642.0,66273.0,66899.0,67572.0,68195.0,68913.0,69652.0,70476.0,71356.0,72240.0,73086.0,73885.0,74620.0,75289.0,75978.0,76687.0,77484.0,78315.0,79205.0,80065.0,80941.0,81827.0,82904.0,83997.0,85168.0,86287.0,87457.0,88597.0,89658.0,90666.0,91640.0,92736.0,93883.0,95152.0,96290.0,97561.0,98800.0,100189.0,101538.0,103042.0,104720.0,106531.0,108531.0,110537.0,112693.0,114861.0,117271.0,119692.0,122335.0,125056.0,127874,130866,134015,137465,140893,144358,147526,150412,153051,155720,158079,160545,163045,165339,167109,168200,168962,169366,169470,169653,169518,169255,168743,167871,166655,165131,163377,161527,159581,157567,155743,153477,151242,148354,145513,142360,139199,135938,132891,129950,126927,123713,120226,116770,113374,110206,107153,104187,101316,98589,96096,93628,91368,89366,87723,86405,85136,84087,83073,82265,81527,80811,79884,79000,78042,77165,76158,75150,74266,73393,72661,71934,71318,70717,70292,69947,69777,69617,69699,69886,70069,70237,70363,70633,70991,71501,72159,72820,73551,74333,75132,75828,76613,77604,78785,79980,81212,82454,83624,84901,86167,87453,88521,89780,90972,92181,93091,94008,94661,95324,95811,96375,96834,97322,97987,98469,99036,99378,99948,100416,101032,101626,102320,102926,103579,104300,104981,105724,106376,107178,107958,108709,109416,110107,110961,111807,112570,113213,113837,114575,115329,116071,116672,117221,117896,118536,119126,119638,120375,121063,121807,122276,122903,123349,124084,124866,125626,126340,126862,127470,127986,128548,128977,129635,130237,130816,130986,131133,131368,131639,132028,132382,132695,133005,133375,133660,133892,134216
4,21,Illinois,5,88804.0,88490.0,88374.0,88123.0,88605.0,89196.0,90221.0,90969.0,91496.0,91738.0,91843.0,92105.0,92146.0,92444.0,92457.0,92508.0,91258.0,89774.0,87587.0,86035.0,85025.0,84747.0,84869.0,85004.0,85109.0,85188.0,85233.0,85578.0,86435.0,87628.0,89156.0,90503.0,91589.0,92172.0,92586.0,92923.0,93410.0,93864.0,94604.0,95337.0,96055.0,96601.0,97245.0,97984.0,98748.0,99627.0,100510.0,101488.0,102447.0,103416.0,104302.0,105095.0,105945.0,106808.0,107741.0,108773.0,109806.0,110792.0,111622.0,112545.0,113458.0,114536.0,115584.0,116676.0,117816.0,119066.0,120284.0,121342.0,122308.0,123277.0,124318.0,125404.0,126317.0,127227.0,128065.0,129064.0,130046.0,131003.0,131921.0,132715.0,133572.0,134372.0,135299.0,136119.0,137034.0,137657.0,138267.0,138785.0,139410.0,140039.0,140648.0,141324.0,142016.0,142832.0,143567.0,144289.0,145118.0,146065.0,147094.0,147960.0,148792.0,149496.0,150303.0,151205.0,152141.0,152944.0,153701.0,154422.0,155171,155954,156919,157898,158830,159896,160887,161778,162504,163189,164005,164658,165401,165962,166382,166609,166889,167038,167190,167177,167456,167803,168430,168230,168138,167247,167102,166381,166212,165595,165455,165254,165010,164816,163130,163173,161251,161520,159549,159478,157893,157679,156231,155378,153237,151122,149473,147611,146875,145310,144587,143903,143423,142127,141021,139713,139661,139028,139117,137751,137362,135690,135112,132418,130812,128681,127449,125352,123391,121554,119937,118611,116748,115485,113610,112732,111325,110393,108499,107419,105925,104901,103150,102419,101649,101266,100586,99953,99351,98862,98964,99316,99676,100281,101088,101645,102314,102901,104004,105126,106563,107777,109235,109975,110901,111353,112141,112591,112868,113342,113993,114594,114912,115399,115710,116310,116834,117326,117512,117925,118727,119317,119505,119608,119847,120121,120373,120611,121023,121524,122531,123355,123997,124492,125062,125856,126520,127076,127613,128313,128923,129676,130156,130937,131552,132163,132729,133284,134036,134799,135462,136020,136717,137603,138299,138538,138658,138972,139402,139741,139935,140240,140601,141079,141427,141376,141358,141510,141953,142253,142450,142648,142854,142971,143081,143107,143160,143373
5,47,Pennsylvania,6,60099.0,60046.0,60014.0,60016.0,60076.0,60111.0,60144.0,60184.0,60278.0,60387.0,60518.0,60621.0,60760.0,60896.0,61101.0,61295.0,61375.0,61453.0,61519.0,61659.0,61768.0,61879.0,61983.0,62090.0,62191.0,62277.0,62252.0,62253.0,62370.0,62606.0,62886.0,63062.0,63179.0,63293.0,63450.0,63688.0,63904.0,64146.0,64390.0,64559.0,64710.0,64828.0,65033.0,65262.0,65572.0,65886.0,66246.0,66530.0,66822.0,67083.0,67365.0,67669.0,67895.0,68184.0,68433.0,68750.0,69031.0,69327.0,69651.0,70020.0,70441.0,70813.0,71186.0,71556.0,71984.0,72381.0,72755.0,73192.0,73637.0,74159.0,74582.0,75057.0,75457.0,75894.0,76301.0,76800.0,77353.0,77931.0,78530.0,79095.0,79689.0,80239.0,80829.0,81429.0,82114.0,82819.0,83545.0,84193.0,84872.0,85569.0,86313.0,86922.0,87512.0,88033.0,88840.0,89628.0,90427.0,91219.0,92051.0,93031.0,93898.0,94725.0,95461.0,96337.0,97279.0,98411.0,99189.0,99965.0,100669,101522,102446,103324,104295,105317,106315,107311,108174,108876,109511,110138,110846,111503,112175,112713,113224,113581,113986,114230,114568,114918,115380,115799,116046,116305,116363,116635,116821,117057,117196,117394,117552,117686,117655,117464,117286,117032,116812,116393,115912,115499,115033,114534,113885,113102,112587,112167,111927,111627,111469,111307,111266,111195,111363,111579,111837,112106,112240,112427,112545,112551,112398,112073,111571,110883,110062,109236,108469,107858,107310,106741,106017,105282,104552,103948,103518,103247,103023,102764,102543,102278,101988,101728,101560,101512,101431,101438,101429,101440,101410,101407,101425,101387,101294,101236,101320,101504,101743,101924,102088,102253,102385,102564,102664,102891,103180,103355,103350,103267,103285,103459,103600,103732,103881,104053,104283,104408,104460,104712,105062,105511,105751,105865,105961,106144,106394,106596,106714,106984,107409,107639,107798,107828,108204,108525,108930,109176,109470,109807,110233,110528,110766,111058,111500,111944,112277,112746,113214,113760,114162,114530,114998,115488,116050,116782,117463,118059,118413,118787,119196,119604,120010,120464,120880,121289,121666,121851,122063,122372,122871,123307,123707,124103,124566,125008,125423,125870
6,44,Ohio,7,48599.0,48644.0,48690.0,48732.0,48832.0,48928.0,49029.0,49110.0,49213.0,49331.0,49433.0,49574.0,49728.0,49930.0,50091.0,50277.0,50419.0,50597.0,50781.0,51006.0,51252.0,51509.0,51817.0,52032.0,52241.0,52443.0,52736.0,53052.0,53321.0,53563.0,53829.0,54095.0,54295.0,54435.0,54581.0,54779.0,54997.0,55167.0,55368.0,55522.0,55735.0,55956.0,56136.0,56327.0,56542.0,56848.0,57132.0,57369.0,57596.0,57836.0,58028.0,58211.0,58391.0,58609.0,58876.0,59144.0,59406.0,59613.0,59803.0,60035.0,60265.0,60513.0,60728.0,60946.0,61131.0,61270.0,61394.0,61536.0,61707.0,61870.0,62004.0,62162.0,62319.0,62517.0,62709.0,62899.0,63091.0,63299.0,63518.0,63734.0,63919.0,64129.0,64322.0,64474.0,64605.0,64672.0,64820.0,65013.0,65240.0,65463.0,65627.0,65732.0,65829.0,65913.0,66085.0,66279.0,66489.0,66743.0,66920.0,67092.0,67259.0,67407.0,67566.0,67723.0,67925.0,68140.0,68338.0,68528.0,68723,68845,69009,69105,69203,69257,69382,69601,69794,69943,69984,70009,70006,70055,70068,70108,70123,70151,70110,69958,69794,69628,69563,69451,69343,69146,68935,68665,68411,68225,68062,67877,67686,67529,67324,67138,66833,66611,66401,66241,65979,65577,65110,64759,64379,63982,63483,63020,62651,62248,61791,61393,61141,61046,61011,60888,60789,60590,60528,60380,60325,60297,60254,60039,59659,59249,58809,58376,57943,57644,57281,56982,56509,56037,55640,55352,55151,54841,54556,54315,54092,53837,53621,53412,53283,53094,52870,52692,52579,52593,52572,52517,52456,52462,52546,52653,52768,52918,53109,53245,53365,53456,53654,53842,54015,54040,53960,53909,53936,54043,54168,54372,54541,54688,54729,54836,55004,55270,55603,55869,56078,56269,56493,56675,56853,57007,57199,57379,57528,57701,57843,57995,58181,58335,58511,58690,58913,59186,59475,59808,60166,60569,60971,61391,61777,62179,62542,62859,63231,63608,64053,64458,64859,65121,65442,65867,66433,67010,67535,68065,68495,68876,69279,69778,70276,70757,71128,71449,71720,71989,72324,72690,73107,73554,73945,74271,74600,75013
7,30,Michigan,8,57680.0,58035.0,58386.0,58719.0,59061.0,59374.0,59647.0,59971.0,60340.0,60703.0,60976.0,61236.0,61496.0,61876.0,62228.0,62630.0,63011.0,63433.0,63883.0,64265.0,64560.0,64834.0,65209.0,65638.0,66072.0,66468.0,66857.0,67196.0,67528.0,67909.0,68350.0,68808.0,69318.0,69883.0,70543.0,71075.0,71568.0,71976.0,72581.0,73200.0,73895.0,74473.0,75055.0,75554.0,76039.0,76560.0,76975.0,77495.0,77935.0,78474.0,78909.0,79409.0,79854.0,80364.0,80806.0,81402.0,81974.0,82473.0,82858.0,83216.0,83724.0,84251.0,84732.0,85160.0,85551.0,85932.0,86289.0,86607.0,86885.0,87190.0,87573.0,88041.0,88408.0,88654.0,88853.0,89040.0,89347.0,89571.0,89800.0,89926.0,90155.0,90331.0,90536.0,90611.0,90709.0,90910.0,91205.0,91540.0,91733.0,91973.0,92270.0,92632.0,92932.0,93280.0,93585.0,93960.0,94291.0,94624.0,94918.0,95201.0,95509.0,95874.0,96239.0,96608.0,96928.0,97219.0,97491.0,97742.0,98038,98285,98482,98631,98799,98926,98973,98997,99034,99069,99070,99007,98881,98784,98659,98605,98420,98217,97961,97679,97324,96940,96601,96237,95776,95072,94408,93626,93020,92351,91593,90684,89854,89251,88558,87800,86857,86070,85213,84207,83071,81922,81063,80248,79265,77697,76199,74653,73461,72105,70703,69594,68695,67865,66823,65778,64919,64426,63810,63355,62849,62560,62296,61731,60895,59986,59261,58665,58042,57351,56753,56112,55472,54866,54420,54138,53975,53903,53778,53698,53695,53757,53894,54040,54207,54307,54416,54693,55125,55665,56271,56812,57212,57590,58031,58688,59484,60404,61287,62044,62702,63288,63866,64525,65317,66181,66976,67596,68056,68425,68801,69356,69908,70500,70947,71339,71691,71981,72314,72617,72999,73395,73820,74168,74524,74687,74906,75222,75690,76278,76755,77228,77622,78040,78523,78946,79390,79932,80656,81295,81852,82326,82844,83521,84245,85000,85626,85998,86451,87080,87836,88606,89291,90092,90988,91882,92836,93759,94700,95844,96944,97931,98594,99197,99896,100562,101190,101632,102037,102438,102875,103302,103703,104062,104542,105053,105526,105952
8,16,Georgia,9,66555.0,67123.0,67694.0,68371.0,68986.0,69583.0,70047.0,70511.0,70979.0,71516.0,72200.0,72843.0,73554.0,73978.0,74332.0,74574.0,74888.0,75322.0,75993.0,76739.0,77481.0,78212.0,78870.0,79420.0,79978.0,80684.0,81629.0,82457.0,83389.0,84255.0,85187.0,86118.0,87097.0,88011.0,89006.0,90236.0,91480.0,92721.0,93794.0,95202.0,96636.0,97999.0,99169.0,100181.0,101251.0,102207.0,103243.0,104219.0,105295.0,106277.0,107360.0,108337.0,109270.0,110093.0,110865.0,111723.0,112587.0,113617.0,114469.0,115238.0,115897.0,116596.0,117205.0,117656.0,118154.0,118736.0,119398.0,119928.0,120299.0,120508.0,120675.0,120788.0,120995.0,121159.0,121420.0,121600.0,121622.0,121616.0,121667.0,121976.0,122253.0,122462.0,122547.0,122778.0,122901.0,122983.0,122817.0,122861.0,122951.0,123218.0,123327.0,123388.0,123583.0,123980.0,124525.0,124837.0,125133.0,125527.0,125957.0,126224.0,126518.0,126759.0,127127.0,127291.0,127377.0,127297.0,127355.0,127602.0,128087,128501,129048,129326,129574,129691,129843,130190,130463,130915,131201,131272,130968,130494,130229,130475,130870,131255,131576,131825,132135,132465,132871,133327,133700,133954,134100,134034,133783,133371,132944,132614,132374,131772,130635,129563,128792,128570,128033,127246,126426,125725,124981,123629,121997,120333,119121,117816,116297,114890,113480,112583,111542,110872,110064,109561,108939,108304,107711,107215,106989,106231,105393,104084,102868,101141,99454,97900,97059,96357,95539,94328,92995,91649,90506,89579,88826,88514,88455,88161,87294,86238,85499,85178,85141,85331,85767,86108,86544,86637,86768,87289,88083,89368,90445,91724,92849,93976,95178,96489,97859,99296,100579,101789,103053,104232,105488,106463,107276,108127,108723,109863,110732,111870,112688,113566,114519,115382,116160,116895,118001,119245,120655,121420,122406,123260,124347,125370,125987,127014,127909,129353,130519,131624,132437,133083,133676,133995,135087,136306,138060,139123,140643,141909,143074,143975,145054,146592,148156,150300,151976,153393,154695,156375,158108,159475,160657,162016,163675,165161,166440,167448,168706,169836,170640,171151,171610,172076,172861,173576,173931,174148,174432,174599,174530,174575,174726,174948
9,36,North Carolina,10,67930.0,68436.0,68896.0,69407.0,69923.0,70363.0,70672.0,70948.0,71194.0,71395.0,71559.0,71896.0,72333.0,72690.0,73014.0,73195.0,73392.0,73680.0,74093.0,74561.0,75023.0,75612.0,76106.0,76240.0,76193.0,76345.0,76600.0,77000.0,77290.0,77569.0,77848.0,78038.0,78267.0,78330.0,78480.0,78719.0,79101.0,79437.0,79795.0,79940.0,80148.0,80302.0,80574.0,80839.0,81088.0,81357.0,81748.0,82243.0,82699.0,82997.0,83212.0,83553.0,83865.0,84196.0,84434.0,84825.0,85152.0,85411.0,85483.0,85603.0,85741.0,85941.0,86178.0,86413.0,86655.0,86812.0,86965.0,86969.0,87092.0,87241.0,87541.0,87746.0,87956.0,88157.0,88319.0,88470.0,88654.0,88915.0,89186.0,89482.0,89646.0,89819.0,90004.0,90261.0,90474.0,90666.0,90906.0,91149.0,91341.0,91482.0,91636.0,91837.0,92021.0,92348.0,92589.0,92950.0,93187.0,93539.0,93799.0,94105.0,94427.0,94815.0,95189.0,95576.0,96129.0,96469.0,96780.0,96817.0,97130,97448,97976,98522,99089,99735,100452,101183,101821,102511,103346,104333,105302,106162,106888,107614,108388,109068,109625,110137,110709,111401,111981,112490,112910,113389,113957,114421,114870,115138,115395,115647,115897,116142,116187,116213,116154,116165,116058,115849,115596,115404,115200,114679,113964,113035,112326,111700,111042,110200,109244,108438,107566,106885,106271,106024,105779,105572,105240,104817,104493,104144,103819,103271,102654,101860,101202,100424,99713,98931,98267,97604,96834,96227,95692,95411,95102,94874,94426,94024,93663,93409,93146,92899,92787,92557,92333,92090,92089,92155,92280,92411,92477,92549,92600,92804,93042,93331,93666,93923,94146,94197,94332,94337,94530,94732,95022,95158,95207,95335,95432,95555,95531,95673,95742,96030,96223,96587,96902,97282,97619,97861,98083,98301,98681,99001,99397,99644,99886,99988,100158,100394,100730,101144,101608,102128,102580,103059,103542,104102,104644,105077,105413,105753,106253,106838,107418,108010,108591,109193,109785,110387,111069,111836,112757,113607,114343,115060,115885,116723,117492,118194,118862,119613,120374,121168,121823,122509,123207,123865,124426,124955,125550,126176,126821,127367,127848,128265
