,RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01
0,9,California,1,393500.0,374500.0,352100.0,334700.0,320000.0,306500.0,293100.0,279500.0,265500.0,255700.0,244100.0,238500.0,230400.0,224200.0,219700.0,223300.0,231900.0,239800.0,245900.0,249900.0,255600.0,260800.0,264600.0,265500.0,264000.0,261300.0,263700.0,263100.0,266000.0,262100.0,263800.0,260100.0,259200.0,257800.0,256600.0,256500.0,252700.0,250700.0,246000.0,243600.0,242400.0,243000.0,244700.0,243800.0,244500.0,244000.0,246700.0,247300.0,249300.0,253700.0,258100.0,261800.0,267000.0,271100.0,279600.0,284000.0,293200.0,301300.0,306200.0,308100.0,312100.0,320600.0,331000.0,339300.0,349000.0,354400.0,357300.0,357500.0,359800.0,363500.0,365200.0,367800.0,367400.0,369700.0,372200.0,373200.0,375400.0,376800.0,380200.0,380700.0,381000.0,382100.0,383600.0,388300.0,391200.0,395100.0,394100.0,395500.0,396600.0,399200.0,399500.0,399400.0,401500.0,407200.0,412900.0,412700.0,410500.0,409700.0,412900.0,414000.0,415000.0,416400.0,419400.0,419900.0,420500.0,420300.0,423200.0,423300.0,427400.0,428000.0,432400.0,435000,437400,438900,441900,449200,459000,464400,468200,471900,477400,480700,481800,482300,483500,483100,483000,485100,486600,486200,485100,488000,490400,494000,492400,492800,492200,491900,494300,499100,506000,513400,517400.0
1,54,Texas,2,139700.0,139200.0,137700.0,137500.0,137700.0,139500.0,139700.0,139300.0,137300.0,134900.0,133800.0,134400.0,136000.0,137000.0,137700.0,139400.0,141200.0,142800.0,143200.0,143100.0,142100.0,140400.0,139700.0,139600.0,140900.0,141400.0,140200.0,139500.0,139500.0,142200.0,143100.0,143300.0,143100.0,144300.0,144500.0,144000.0,142200.0,140400.0,139700.0,139700.0,140900.0,141900.0,142700.0,143900.0,144100.0,144500.0,143400.0,142900.0,143700.0,146400.0,148900.0,151100.0,151800.0,152500.0,152300.0,152900.0,153700.0,154100.0,153600.0,152400.0,153300.0,157100.0,161100.0,164000.0,165100.0,166000.0,166100.0,166400.0,166900.0,167200.0,165500.0,166300.0,167000.0,169200.0,169400.0,170100.0,170800.0,172400.0,173600.0,174400.0,174900.0,175800.0,177200.0,177600.0,178800.0,179300.0,180900.0,182000.0,183600.0,184500.0,184500.0,184500.0,184600.0,185600.0,186900.0,187500.0,188000.0,188600.0,190500.0,192300.0,194400.0,195700.0,197300.0,199200.0,201200.0,202300.0,202300.0,203600.0,204400.0,206000.0,206300.0,207200,206800,207300,208200,209700,210600,211000,212700,215100,216500,217800,217800,218000,217700,217100,217700,218500,220100,221500,222000,222700,223600,226000,227500,227900,227800,229400,231700,235700,237500,239600,239700.0
2,43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235200.0,237300.0,241300.0,248500.0,252100.0,249500.0,245000.0,242100.0,236400.0,236000.0,231900.0,229000.0,222600.0,221200.0,219800.0,224400.0,224900.0,229700.0,235200.0,236900.0,235600.0,234800.0,233600.0,236600.0,236100.0,238300.0,236600.0,237500.0,234900.0,242800.0,245200.0,252000.0,254500.0,261700.0,267500.0,265700.0,262200.0,258600.0,258500.0,255600.0,251900.0,251900.0,249200.0,244800.0,242900.0,243400.0,248200.0,248000.0,250100.0,251200.0,252600.0,251600.0,250100.0,248100.0,248500.0,243800.0,246800.0,249000.0,255800.0,257900.0,258100.0,252400.0,245500.0,247900.0,253200.0,252100.0,251900.0,251100.0,258200.0,256500.0,257400.0,256600.0,254900.0,254600.0,256300.0,258500.0,262600.0,262700.0,264600,263900,264800,268200,270200,272600,269200,269200,269400,274000,279600,282100,283500,283600,283800,282800,282800,285000,289000,291000,288900,285400,286400,287200,297000,299400,303300,296300,296000,296800,310700,
3,14,Florida,4,203300.0,195600.0,189300.0,184500.0,181800.0,178200.0,173100.0,167200.0,161800.0,155600.0,149100.0,143900.0,138200.0,133200.0,128000.0,125600.0,126400.0,127400.0,128900.0,128400.0,129700.0,129600.0,128900.0,127500.0,125400.0,124400.0,122000.0,121100.0,118400.0,116000.0,113600.0,113900.0,115400.0,116500.0,113600.0,110500.0,107800.0,108800.0,110600.0,112300.0,114200.0,114400.0,114600.0,113600.0,114200.0,115800.0,117600.0,117800.0,118200.0,119800.0,121200.0,122300.0,121600.0,122400.0,122800.0,124600.0,127000.0,130100.0,132300.0,133100.0,133000.0,134800.0,136800.0,139500.0,141900.0,144700.0,145500.0,145500.0,146100.0,147300.0,147700.0,147100.0,146800.0,147300.0,147700.0,148400.0,150100.0,151600.0,153200.0,154300.0,156300.0,157500.0,158000.0,158300.0,160100.0,161700.0,164100.0,165000.0,166000.0,166200.0,167400.0,168700.0,169200.0,170100.0,172200.0,174800.0,176500.0,177000.0,177600.0,178600.0,180200.0,181700.0,182900.0,183900.0,184400.0,185100.0,186600.0,189100.0,191200.0,192100.0,192400.0,193600,195700,197200,198200,199000,200600,203100,206200,210500,214300,215400,214500,213100,212800,214400,215700,217800,220200,221600,223000,225000,226200,225900,224300,224500,226100,227300,229300,230900,234800,238200,243700.0
4,21,Illinois,5,204700.0,199100.0,185200.0,177100.0,174200.0,176300.0,176400.0,175700.0,172400.0,170400.0,165500.0,163400.0,159000.0,154000.0,148200.0,144100.0,145600.0,150900.0,154900.0,157700.0,156200.0,158900.0,161400.0,164200.0,160300.0,155400.0,150800.0,150700.0,148800.0,147900.0,144000.0,144700.0,144700.0,146700.0,147000.0,146400.0,142900.0,137400.0,132100.0,130600.0,132100.0,135300.0,136000.0,134700.0,131500.0,131200.0,130500.0,130400.0,131100.0,131600.0,133300.0,133500.0,135000.0,136000.0,134700.0,133400.0,133400.0,133300.0,134000.0,132900.0,133300.0,133500.0,136400.0,140500.0,145500.0,149100.0,151100.0,153800.0,154400.0,156300.0,155700.0,156200.0,154300.0,153900.0,154000.0,156300.0,157700.0,159200.0,161800.0,163100.0,162700.0,162900.0,163100.0,165300.0,164700.0,165100.0,163700.0,163500.0,163100.0,162000.0,161000.0,159700.0,156500.0,155100.0,154000.0,155800.0,156800.0,158400.0,159500.0,160300.0,160300.0,162100.0,160700.0,162400.0,162800.0,166000.0,167600.0,170100.0,172700.0,172600.0,172500.0,170000,168500,168700,167900,169900,170600,173900,175800,179000,183400,185600,184800,186400,187200,186700,183200,182000,184400,183300,186000,190600,197600,200400,199200,196800,193800,192300,191400,192500,193500,195300,196300.0
5,47,Pennsylvania,6,146600.0,144800.0,142800.0,139000.0,138700.0,139900.0,141000.0,139800.0,136700.0,134400.0,133600.0,134400.0,136800.0,137100.0,136400.0,135300.0,135100.0,137000.0,139100.0,140300.0,141700.0,142700.0,142000.0,141700.0,142400.0,143900.0,142900.0,139100.0,136500.0,133800.0,133300.0,133400.0,135700.0,137300.0,137900.0,137800.0,136600.0,134400.0,132000.0,130600.0,131100.0,131600.0,131200.0,131000.0,131100.0,133100.0,135400.0,136900.0,137000.0,137100.0,138000.0,138400.0,138600.0,138100.0,137900.0,137200.0,138400.0,140300.0,141800.0,142100.0,141000.0,141400.0,140500.0,140800.0,141600.0,142100.0,142500.0,141700.0,140700.0,140500.0,140100.0,141400.0,141800.0,140100.0,139100.0,138600.0,140100.0,141100.0,141700.0,141400.0,141700.0,142300.0,143100.0,142800.0,143900.0,144000.0,144600.0,143700.0,144700.0,145700.0,146400.0,146200.0,145000.0,144400.0,145300.0,146900.0,147200.0,147100.0,147400.0,148800.0,149000.0,148900.0,148400.0,149000.0,149600.0,150500.0,150900.0,151900.0,153100.0,153600.0,153700.0,154800,156100,156300,155400,155800,156400,157000,159200,159500,163400,161600,162000,159700,159500,158700,158500,158500,161000,161700,163700,166100,168000,169200,168300,168700,168700,168400,168800,169500,172500,175300,
6,44,Ohio,7,113300.0,109700.0,108500.0,107500.0,108100.0,107500.0,105600.0,102700.0,96400.0,90700.0,87000.0,87500.0,89000.0,91300.0,93500.0,97300.0,100700.0,103400.0,105400.0,107200.0,108900.0,108200.0,105900.0,105000.0,105200.0,105400.0,106100.0,106100.0,102200.0,97100.0,92800.0,93400.0,94200.0,97600.0,97900.0,95100.0,89000.0,86600.0,87900.0,92000.0,94700.0,95800.0,94400.0,93500.0,92200.0,93700.0,93300.0,93300.0,92600.0,94500.0,98200.0,100700.0,104500.0,106200.0,106400.0,105100.0,104700.0,105300.0,105700.0,103800.0,103400.0,101200.0,104200.0,106900.0,111300.0,112200.0,111400.0,108800.0,109100.0,107600.0,109000.0,107900.0,109800.0,109900.0,111100.0,112800.0,115400.0,116500.0,116800.0,116100.0,115400.0,115700.0,113300.0,113900.0,114100.0,116000.0,117400.0,117700.0,119400.0,119100.0,119500.0,119300.0,116500.0,116000.0,116000.0,120500.0,121800.0,123400.0,122900.0,123000.0,122200.0,122100.0,122200.0,123600.0,124000.0,124800.0,126500.0,127800.0,128300.0,127800.0,126500.0,126400,125200,126500,127500,129200,130300,131300,133600,136700,137300,135800,133100,132100,132000,132000,132500,133400,133800,135200,137500,141300,143300,142000,140900,140100,141200,140900,141500,141700,142200,144200,
7,30,Michigan,8,98200.0,95100.0,90500.0,86200.0,85500.0,85200.0,84400.0,81400.0,75200.0,70400.0,64000.0,60700.0,57200.0,55200.0,54900.0,54200.0,57900.0,61400.0,65600.0,67700.0,69500.0,73000.0,73400.0,73000.0,70100.0,70100.0,71300.0,71800.0,70900.0,68000.0,65900.0,64700.0,63500.0,64200.0,65300.0,66000.0,64400.0,61900.0,61400.0,62100.0,64700.0,66800.0,68000.0,67100.0,59700.0,61400.0,62200.0,68300.0,65800.0,66800.0,69100.0,71700.0,73300.0,76200.0,77500.0,77600.0,65400.0,66200.0,67500.0,81200.0,83600.0,85700.0,87400.0,88900.0,94000.0,98300.0,101500.0,100300.0,86500.0,84800.0,84900.0,97600.0,98200.0,99200.0,101400.0,105700.0,109300.0,111600.0,114000.0,113300.0,99500.0,93900.0,96000.0,110500.0,115900.0,116900.0,119200.0,121300.0,122600.0,122800.0,122600.0,120200.0,109700.0,109300.0,112500.0,125400.0,128300.0,128600.0,128300.0,127500.0,127900.0,128700.0,129400.0,132000.0,132900.0,135300.0,135200.0,137500.0,137000.0,137400.0,135300.0,135900,135100,136200,136800,139200,140900,143100,144200,146700,148000,147800,146100,144000,143900,144400,144700,144000,143900,145300,147700,152300,155400,156300,153800,151500,151900,153000,153700,154300,155100,158200,
8,16,Georgia,9,144000.0,138900.0,135800.0,133200.0,132200.0,133700.0,132800.0,132300.0,127800.0,123600.0,122200.0,122000.0,121700.0,118100.0,115100.0,114600.0,117000.0,120800.0,124000.0,126000.0,127400.0,127600.0,126900.0,123200.0,119800.0,117200.0,117300.0,116400.0,114700.0,113000.0,113600.0,114600.0,115000.0,113900.0,113700.0,109500.0,106800.0,101900.0,100100.0,97600.0,97500.0,97800.0,96500.0,93900.0,93100.0,93200.0,94300.0,93100.0,93800.0,94800.0,95900.0,96500.0,97700.0,100400.0,102400.0,102500.0,104400.0,107600.0,109900.0,111300.0,113300.0,117400.0,119900.0,122600.0,124400.0,126900.0,126100.0,126300.0,125600.0,126800.0,127200.0,128300.0,128400.0,129000.0,131000.0,134800.0,136600.0,138100.0,137000.0,139000.0,138600.0,141900.0,141100.0,144100.0,144200.0,150600.0,151900.0,153200.0,150600.0,151600.0,153200.0,153300.0,153900.0,153200.0,154800.0,154900.0,156000.0,156200.0,157000.0,155500.0,156300.0,156000.0,158100.0,158300.0,161300.0,161200.0,163400.0,161900.0,165400.0,165200.0,167000.0,166000,166800,166800,168600,170200,172600,174100,175600,178200,179700,180800,180100,180100,180000,179100,181800,182800,186200,186000,189300,190900,192500,192500,194600,195200,197600,197500,199600,198800,201700,203900,
9,36,North Carolina,10,154500.0,151900.0,147600.0,145900.0,146100.0,145400.0,144600.0,145100.0,142500.0,141800.0,140600.0,146200.0,147700.0,146400.0,142400.0,141200.0,142700.0,143600.0,144600.0,145600.0,146400.0,146200.0,148300.0,149100.0,149400.0,145700.0,143200.0,142600.0,142800.0,142400.0,142600.0,142900.0,144100.0,144900.0,144100.0,143700.0,140900.0,139500.0,137600.0,137800.0,137800.0,138700.0,137700.0,137900.0,137600.0,139700.0,140600.0,141900.0,142200.0,141900.0,141200.0,141300.0,141900.0,142500.0,141700.0,142300.0,142100.0,145000.0,145500.0,146900.0,145800.0,146600.0,146700.0,147300.0,148000.0,148300.0,148600.0,148500.0,148700.0,150000.0,150400.0,150500.0,149200.0,148200.0,149200.0,149200.0,150700.0,151000.0,152700.0,153300.0,153300.0,154200.0,157500.0,162300.0,164100.0,163600.0,163300.0,163500.0,163800.0,162800.0,163000.0,162800.0,162700.0,163400.0,166000.0,166900.0,166200.0,164800.0,165100.0,166800.0,167100.0,168800.0,169400.0,171300.0,171600.0,171400.0,171400.0,172000.0,173800.0,173600.0,172700.0,172700,173800,174600,173900,174600,177000,179200,183300,187600,191800,190900,188800,187300,188100,188400,189100,190100,191500,191900,192700,195500,198000,200100,199800,200100,201300,202200,205000,206000,209900,213200,217400.0
