,RegionID,RegionName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01
0,9,California,1,127419.0,127194.0,127005.0,126849.0,126720.0,126610.0,126573.0,126583.0,126634.0,126474.0,126326.0,126303.0,126562.0,126931.0,127315.0,127825.0,128430.0,129111.0,129742.0,130418.0,131247.0,132426.0,133740.0,134942.0,135886.0,136753.0,137652.0,138450.0,139324.0,140319.0,141401.0,142426.0,143254.0,144233.0,145270.0,146383.0,147374.0,148362.0,149548.0,150825.0,151930.0,152901.0,154059.0,155464.0,157018.0,158526.0,159980.0,161469.0,163107.0,164933.0,166841.0,168799.0,170888.0,173052.0,175127.0,177217.0,179370.0,181414.0,183526.0,185767.0,188186.0,190365.0,192293.0,194001.0,195721.0,197463.0,199324.0,201138.0,202941.0,204781.0,206776.0,208815.0,211020.0,213350.0,216091.0,219185.0,222465.0,225678.0,228914.0,232344.0,235885.0,239218.0,242278.0,245384.0,248465.0,251692.0,254431.0,257571.0,260986.0,264929.0,268733.0,272864.0,277002.0,281922.0,287124.0,292607.0,298241.0,304532.0,311633.0,318437.0,324695.0,330812.0,336993.0,342808.0,348645.0,353930.0,359709,365341,371297,376467,381303,386350,391639,397007,402162,406302,410001,413118,415731,418216,419984,422108,423268,423711,423555,422437,421279,420213,419387,418355,416950,415284,413730,411298,408612,405319,401816,397683,392687,387829,382228,376801,369769,361797,353030,344161,336311,328193,320501,313083,306237,298667,290979,284015,279508,275559,271631,268024,264894,263022,261615,260921,260663,261478,262743,263398,262737,262823,263440,264649,263979,262645,260953,259417,257684,255405,253629,252097,250883,248972,247020,244202,242695,241407,240150,238589,236920,236242,235144,234419,233766,233705,234025,235204,236650,238502,240703,243363,246736,249972,254207,258374,263372,268877,275071,281272,287576,293729,300088,305673,310453,314586,318115,321751,324675,326571,327642,328465,329391,330820,331400,332508,333626,335984,337845,339824,341938,344905,347280,349821,351814,353699,356004,358624,361581,363875,367003,369757,372295,373839,376298,378515,380983,383063,385795,388375,391210,393503,395539,397731,400036,402836,405335,408408,411563,414339,416885,419708,422856,426682,430516,434522,438428,442020,444812,446880,448837,450977,452673,453655,454436,455082,454975,454298,453144,452490,452632,453064,453529,454204,455241,456790,458368,459996,462396,465332
1,54,Texas,2,62912.0,63012.0,63097.0,63155.0,63285.0,63431.0,63608.0,63781.0,63968.0,63941.0,63877.0,63824.0,63854.0,63905.0,63996.0,64096.0,64143.0,64223.0,64350.0,64519.0,64691.0,65107.0,65561.0,66028.0,66262.0,66520.0,66762.0,67088.0,67370.0,67609.0,67689.0,67739.0,67778.0,67980.0,68322.0,68778.0,69271.0,69756.0,70197.0,70554.0,70865.0,71118.0,71487.0,71832.0,72184.0,72368.0,72503.0,72536.0,72538.0,72396.0,72284.0,72232.0,72304.0,72424.0,72469.0,72640.0,72823.0,72981.0,72904.0,72785.0,72736.0,72862.0,72958.0,73045.0,73074.0,73128.0,73238.0,73199.0,73231.0,73172.0,73349.0,73461.0,73774.0,74028.0,74412.0,74750.0,75071.0,75318.0,75545.0,75914.0,76173.0,76371.0,76368.0,76423.0,76396.0,76418.0,76530.0,76634.0,76841.0,77021.0,77262.0,77430.0,77650.0,78114.0,78843.0,79817.0,80592.0,81238.0,81552.0,81973.0,82346.0,82790.0,83191.0,83527.0,83907.0,84309.0,84582,84707,84767,84868,85062,85225,85418,85560,85658,85837,86001,86195,86468,86681,86891,87148,87493,87851,88073,88373,88715,89007,89232,89440,89494,89508,89635,89802,89933,89947,90135,90348,90452,90543,90535,90352,89997,89686,89393,89074,88716,88420,88013,87505,87077,86577,86166,85731,85602,85463,85353,85165,85002,84879,84699,84553,84380,84422,84438,84448,84317,84214,84126,84037,83850,83459,83065,82654,82314,81872,81496,81086,80659,80152,79677,79221,78864,78653,78562,78537,78459,78306,78121,78081,78150,78279,78303,78422,78582,78846,79031,79148,79240,79434,79708,80050,80383,80841,81375,81883,82285,82693,83181,83777,84398,84985,85507,86017,86563,87014,87428,87871,88464,88968,89529,90099,90718,91383,92022,92623,93176,93785,94459,95085,95703,96307,96947,97480,98090,98535,99063,99611,100230,100860,101538,102332,103137,104000,104648,105385,106071,107038,108021,108782,109479,110083,110783,111412,112015,112642,113230,113856,114613,115500,116361,117073,117821,118751,119813,120849,121809,122710,123675,124403,125336,126173,127259,128209,129138,129875,130524,131182,131882,132567,133237,134021,134532,134941,135104,135457
2,43,New York,3,91059.0,90907.0,90777.0,90616.0,90447.0,90313.0,90199.0,90131.0,90101.0,89997.0,90078.0,90175.0,90304.0,90288.0,90284.0,90390.0,90497.0,90597.0,90670.0,90856.0,91056.0,91476.0,91683.0,91859.0,91795.0,91827.0,91880.0,91838.0,91965.0,92121.0,92444.0,92549.0,92651.0,92651.0,92812.0,93009.0,93344.0,93729.0,94147.0,94797.0,95313.0,95851.0,96184.0,96557.0,96866.0,97115.0,97541.0,98052.0,98699.0,99239.0,99774.0,100112.0,100401.0,100624.0,100959.0,101436.0,101996.0,102611.0,103105.0,103615.0,104091.0,104636.0,105173.0,105803.0,106438.0,107098.0,107698.0,108334.0,108986.0,109660.0,110324.0,110912.0,111545.0,112179.0,112813.0,113429.0,113990.0,114583.0,115225.0,115994.0,116807.0,117617.0,118417.0,119341.0,120159.0,120912.0,121651.0,122405.0,123479.0,124619.0,125836.0,126655.0,127428.0,128201.0,129058.0,129820.0,130705.0,131752.0,132934.0,134111.0,135072.0,135966.0,136769.0,137825.0,138855.0,140004.0,141190,142343,143445,144464,145464,146504,147609,148767,149965,151100,152260,153222,154026,154869,155711,156535,157239,157850,158367,158780,159151,159487,159828,160162,160503,160705,160890,161071,161362,161708,162068,162433,162810,163189,163365,163458,163380,163344,163094,162828,162383,161865,161325,160732,160006,159153,158373,157724,157169,156621,156081,155500,154905,154385,153955,153691,153642,153695,153769,153672,153637,153600,153810,153999,154303,154408,154235,153819,153201,152641,152087,151699,151345,150993,150449,149843,149124,148550,148185,147979,147843,147616,147409,147196,146868,146589,146374,146351,146352,146404,146484,146571,146621,146735,146899,147079,147382,147633,147953,148191,148536,148894,149202,149470,149818,150177,150503,150817,151152,151572,151888,152143,152328,152442,152587,152743,152934,153152,153448,153763,153924,153990,154100,154349,154645,154958,155258,155576,155819,155972,155996,156005,156289,156686,157097,157412,157693,158059,158432,158814,159291,159819,160506,161084,161509,161888,162450,163114,163859,164472,165072,165651,166230,166894,167478,168177,168883,169556,170164,170749,171447,172314,173253,174228,175035,175733,176286,176852,177440,178136,178754,179350,179821,180206,180535,180837,181239,181658,182176,182620
3,14,Florida,4,75705.0,75834.0,75993.0,76151.0,76295.0,76383.0,76471.0,76578.0,76708.0,76697.0,76712.0,76751.0,76971.0,77180.0,77353.0,77516.0,77687.0,77883.0,78057.0,78254.0,78461.0,78960.0,79387.0,79754.0,79806.0,79909.0,79954.0,80036.0,80180.0,80493.0,80874.0,81145.0,81345.0,81382.0,81509.0,81662.0,81956.0,82247.0,82700.0,83155.0,83563.0,83799.0,84010.0,84321.0,84661.0,85048.0,85439.0,85889.0,86378.0,86844.0,87267.0,87675.0,88086.0,88558.0,89056.0,89621.0,90213.0,90813.0,91438.0,92101.0,92798.0,93518.0,94253.0,95067.0,95921.0,96832.0,97762.0,98649.0,99522.0,100373.0,101223.0,102034.0,102857.0,103717.0,104617.0,105531.0,106510.0,107488.0,108513.0,109569.0,110771.0,112025.0,113330.0,114630.0,115955.0,117239.0,118452.0,119629.0,120796.0,122082.0,123478.0,124993.0,126459.0,128000.0,129542.0,131148.0,132714.0,134486.0,136462.0,138619.0,140963.0,143381.0,145873.0,148346.0,151006.0,153766.0,156751,159904,163248,166772,170493,174531,178561,182549,186321,189914,193352,196605,199472,202353,205326,208040,210138,211358,212135,212358,212191,211914,211150,210309,209139,207651,205544,203081,200388,197665,194954,192298,189662,186714,183669,180206,176804,173201,169796,166258,162903,159412,155837,152234,148593,144890,141449,138192,135216,132266,129330,126608,124094,122021,120106,118385,116954,115999,115038,114239,113368,112713,112100,111474,110690,109748,108689,107576,106320,104989,103766,102549,101437,100269,99201,98187,97377,96603,96042,95583,95323,95164,95020,94944,94900,95071,95364,95769,96240,96827,97483,98199,98986,99752,100686,101757,102981,104206,105536,106941,108354,109839,111422,113030,114450,115875,117174,118453,119562,120679,121545,122397,123107,123874,124432,125062,125906,126790,127713,128545,129474,130355,131251,132150,133129,134041,135082,136201,137298,138328,139356,140520,141731,142827,143943,145010,146208,147423,148559,149549,150474,151546,152616,153601,154466,155346,156422,157498,158572,159579,160734,161813,162884,163736,164646,165317,166215,167243,168408,169551,170486,171331,172132,173004,173842,174737,175646,176509,177030,177381,177730,178083,178556,179129,179665,180200,180761,181335,181849,182519
4,21,Illinois,5,98725.0,98329.0,98110.0,97770.0,98143.0,98654.0,99709.0,100535.0,101190.0,101422.0,101442.0,101552.0,101461.0,101577.0,101418.0,101285.0,99767.0,97896.0,95091.0,92908.0,91264.0,90626.0,90486.0,90422.0,90377.0,90354.0,90308.0,90485.0,91319.0,92608.0,94391.0,95934.0,97116.0,97608.0,97866.0,98094.0,98436.0,98702.0,99240.0,99833.0,100397.0,100733.0,101112.0,101637.0,102215.0,102975.0,103723.0,104497.0,105186.0,105854.0,106497.0,107076.0,107765.0,108464.0,109204.0,109930.0,110714.0,111466.0,112156.0,112903.0,113704.0,114583.0,115394.0,116177.0,116942.0,117774.0,118625.0,119489.0,120255.0,120992.0,121718.0,122529.0,123222.0,123995.0,124719.0,125596.0,126457.0,127325.0,128156.0,128861.0,129659.0,130419.0,131311.0,132077.0,132916.0,133584.0,134239.0,134853.0,135572.0,136384.0,137189.0,137981.0,138699.0,139550.0,140355.0,141182.0,142065.0,143027.0,144124.0,145133.0,146090.0,146875.0,147731.0,148734.0,149820.0,150755.0,151671,152586,153570,154531,155523,156525,157503,158618,159704,160677,161568,162409,163281,164033,164760,165413,165940,166357,166791,167117,167343,167468,167686,168014,168408,168378,168312,167827,167689,167233,167035,166481,166145,165729,165224,164681,163343,162776,161346,160916,159413,158651,157048,156138,154665,153464,151684,149775,148258,146626,145412,143774,142508,141542,140731,139642,138615,137671,137290,136791,136400,135430,135041,134122,133727,132086,130994,129570,128627,127076,125678,124212,123140,122045,120698,119534,118127,117357,116256,115480,114070,113151,111966,111196,109907,109326,108610,108238,107557,106879,106255,105633,105539,105694,105888,106204,106609,106889,107372,107759,108587,109410,110557,111598,112778,113379,114116,114545,115257,115686,115972,116459,117181,117923,118424,119039,119464,120118,120616,121105,121358,121878,122649,123364,123651,123941,124224,124548,124823,125103,125550,126078,126966,127696,128316,128789,129397,130123,130794,131353,131948,132678,133437,134260,134947,135824,136634,137326,137873,138369,139061,139818,140616,141373,142204,143072,143714,144070,144380,144863,145453,145931,146330,146810,147255,147655,147904,147946,148127,148369,148729,149010,149226,149491,149693,149793,149860,149929,150036,150235
5,47,Pennsylvania,6,71154.0,71100.0,71086.0,71098.0,71206.0,71307.0,71454.0,71594.0,71745.0,71832.0,71914.0,72041.0,72219.0,72459.0,72693.0,72930.0,73037.0,73136.0,73171.0,73278.0,73441.0,73711.0,73966.0,74168.0,74288.0,74405.0,74480.0,74556.0,74675.0,74858.0,75073.0,75219.0,75262.0,75314.0,75405.0,75544.0,75716.0,75889.0,76080.0,76212.0,76355.0,76516.0,76716.0,76936.0,77217.0,77485.0,77816.0,78137.0,78491.0,78789.0,79043.0,79311.0,79557.0,79831.0,80089.0,80423.0,80763.0,81111.0,81418.0,81725.0,82030.0,82328.0,82669.0,83014.0,83366.0,83676.0,83979.0,84321.0,84678.0,85075.0,85472.0,85919.0,86341.0,86749.0,87078.0,87466.0,87957.0,88498.0,89049.0,89529.0,90018.0,90527.0,91026.0,91523.0,92061.0,92667.0,93381.0,94024.0,94622.0,95175.0,95788.0,96310.0,96845.0,97309.0,98081.0,98807.0,99522.0,100189.0,100889.0,101698.0,102427.0,103236.0,103990.0,104914.0,105819.0,106805.0,107434,108134,108911,109831,110689,111549,112527,113507,114389,115218,116022,116795,117519,118181,118813,119441,120184,120792,121315,121669,122092,122400,122734,123031,123441,123824,124106,124321,124405,124638,124892,125152,125316,125454,125562,125610,125539,125402,125240,125034,124784,124360,123918,123532,123226,122913,122475,121991,121662,121355,121102,120846,120723,120719,120653,120622,120686,120937,121275,121611,121839,122079,122301,122414,122388,122169,121855,121357,120730,120002,119294,118673,118106,117588,117001,116403,115749,115232,114915,114795,114675,114501,114265,114037,113792,113582,113432,113423,113441,113433,113374,113276,113242,113254,113402,113535,113669,113708,113799,113923,114149,114405,114624,114835,115012,115212,115294,115425,115591,115811,115942,115991,116102,116298,116509,116662,116766,116902,117101,117260,117374,117597,117934,118356,118604,118752,118914,119203,119581,119897,120139,120500,120971,121257,121420,121503,121838,122179,122546,122799,123101,123478,124000,124332,124644,124968,125520,126076,126585,127130,127710,128354,128923,129454,129975,130583,131151,131990,132757,133485,133937,134373,134839,135355,135835,136340,136781,137291,137862,138224,138548,138925,139504,140085,140626,141120,141670,142213,142789,143317
6,44,Ohio,7,64885.0,65091.0,65292.0,65476.0,65689.0,65896.0,66079.0,66257.0,66457.0,66673.0,66894.0,67107.0,67319.0,67544.0,67773.0,68029.0,68248.0,68492.0,68747.0,69024.0,69279.0,69542.0,69833.0,70116.0,70372.0,70616.0,70883.0,71158.0,71431.0,71684.0,71986.0,72279.0,72558.0,72772.0,72991.0,73244.0,73488.0,73694.0,73892.0,74105.0,74360.0,74624.0,74903.0,75166.0,75461.0,75810.0,76171.0,76483.0,76812.0,77196.0,77601.0,77939.0,78237.0,78536.0,78828.0,79147.0,79468.0,79785.0,80067.0,80352.0,80620.0,80858.0,81069.0,81308.0,81572.0,81834.0,82074.0,82283.0,82464.0,82615.0,82752.0,82937.0,83139.0,83372.0,83570.0,83781.0,83959.0,84130.0,84319.0,84562.0,84826.0,85102.0,85367.0,85596.0,85815.0,86007.0,86248.0,86502.0,86809.0,87122.0,87390.0,87578.0,87766.0,87950.0,88187.0,88421.0,88658.0,88910.0,89141.0,89377.0,89558.0,89742.0,89947.0,90179.0,90417.0,90678.0,90957,91245,91508,91715,91919,92083,92272,92431,92608,92820,93005,93141,93170,93201,93229,93284,93319,93369,93404,93404,93375,93306,93212,93109,93062,92920,92751,92521,92329,92093,91833,91613,91401,91112,90843,90593,90316,90050,89706,89373,88980,88626,88258,87856,87335,86889,86362,85801,85153,84589,84138,83746,83337,82943,82588,82282,82094,81900,81793,81655,81630,81482,81363,81191,81022,80679,80252,79774,79287,78759,78181,77702,77206,76789,76238,75703,75207,74871,74592,74320,74028,73778,73562,73283,72995,72749,72580,72390,72162,71968,71843,71798,71743,71672,71612,71669,71800,71929,72077,72272,72542,72752,72960,73093,73321,73525,73701,73694,73622,73548,73537,73567,73610,73716,73763,73861,73898,74025,74220,74509,74838,75120,75377,75626,75882,76135,76385,76621,76838,77057,77233,77485,77712,78023,78306,78592,78877,79165,79489,79820,80185,80587,81048,81543,82042,82500,82965,83408,83869,84289,84833,85420,86099,86683,87232,87575,87984,88477,89174,89880,90503,91096,91599,92059,92528,93112,93712,94359,94905,95441,95856,96285,96780,97334,97895,98475,98997,99471,99944,100486
7,30,Michigan,8,70687.0,71190.0,71683.0,72131.0,72567.0,72962.0,73349.0,73767.0,74243.0,74690.0,75069.0,75479.0,75885.0,76341.0,76775.0,77281.0,77800.0,78373.0,78929.0,79445.0,79847.0,80322.0,80866.0,81386.0,81817.0,82209.0,82623.0,83038.0,83449.0,83885.0,84363.0,84824.0,85349.0,85798.0,86358.0,86858.0,87447.0,87970.0,88604.0,89188.0,89801.0,90371.0,90963.0,91549.0,92092.0,92708.0,93240.0,93833.0,94358.0,94959.0,95514.0,96155.0,96719.0,97272.0,97763.0,98353.0,98965.0,99504.0,99953.0,100376.0,100868.0,101386.0,101861.0,102307.0,102766.0,103240.0,103664.0,104049.0,104418.0,104829.0,105254.0,105748.0,106159.0,106490.0,106769.0,107004.0,107292.0,107539.0,107879.0,108166.0,108477.0,108721.0,109021.0,109187.0,109421.0,109709.0,110092.0,110498.0,110840.0,111222.0,111570.0,111955.0,112296.0,112655.0,112964.0,113339.0,113658.0,113980.0,114289.0,114624.0,114933.0,115221.0,115499.0,115744.0,115986.0,116263.0,116524,116787,117039,117296,117479,117595,117755,117917,118066,118180,118296,118370,118409,118387,118338,118225,118014,117825,117543,117298,116918,116512,115947,115366,114807,114252,113665,112863,112127,111266,110599,109738,108846,107834,106982,106162,105239,104114,102753,101469,100183,98903,97413,95947,94714,93499,92130,90455,88840,87272,85940,84653,83363,82226,81141,80216,79154,78262,77446,76959,76411,76007,75599,75283,74974,74435,73833,73081,72413,71721,71123,70430,69852,69171,68569,67966,67432,67050,66812,66774,66749,66726,66742,66789,66841,67025,67239,67519,67840,68286,68771,69237,69812,70431,70991,71611,72385,73328,74288,75269,76242,77260,78323,79450,80497,81514,82526,83525,84387,85082,85731,86355,87048,87678,88213,88625,88994,89413,89838,90274,90736,91243,91716,92128,92518,92918,93366,93722,94098,94500,95085,95682,96258,96697,97251,97866,98547,99228,99910,100745,101635,102458,103146,103823,104509,105405,106303,107255,108022,108656,109351,110119,110962,111841,112702,113662,114651,115589,116510,117368,118357,119387,120409,121281,122029,122703,123486,124138,124793,125337,125892,126446,126974,127535,128056,128606,129184,129798,130341,130921
8,16,Georgia,9,68502.0,68811.0,69140.0,69432.0,69721.0,70001.0,70307.0,70639.0,70988.0,71190.0,71419.0,71674.0,72054.0,72441.0,72789.0,73196.0,73627.0,74113.0,74550.0,74962.0,75357.0,76047.0,76701.0,77297.0,77613.0,77990.0,78405.0,78835.0,79281.0,79682.0,80143.0,80615.0,81139.0,81575.0,82060.0,82587.0,83195.0,83778.0,84379.0,84997.0,85571.0,86176.0,86767.0,87362.0,87862.0,88286.0,88772.0,89350.0,90079.0,90753.0,91400.0,92034.0,92699.0,93391.0,94053.0,94727.0,95478.0,96252.0,96917.0,97486.0,97968.0,98520.0,99080.0,99628.0,100191.0,100696.0,101205.0,101665.0,102116.0,102560.0,103032.0,103478.0,103901.0,104333.0,104728.0,105094.0,105339.0,105571.0,105852.0,106185.0,106458.0,106690.0,106881.0,107148.0,107351.0,107495.0,107652.0,107882.0,108179.0,108481.0,108691.0,108887.0,109148.0,109483.0,109931.0,110340.0,110818.0,111160.0,111418.0,111614.0,111912.0,112249.0,112625.0,112922.0,113126.0,113236.0,113239,113260,113372,113744,114215,114617,114897,115185,115511,115905,116308,116788,117241,117619,117847,118005,118224,118581,118954,119300,119591,119874,120182,120505,120840,121197,121464,121577,121537,121429,121318,121077,120762,120375,120037,119601,118990,118236,117525,116908,116213,115359,114429,113524,112548,111354,109916,108545,107356,106269,105036,103793,102712,101852,100946,100157,99365,98816,98349,97687,96955,96182,95842,95492,94968,94047,93026,91739,90616,89410,88439,87419,86569,85582,84384,83006,81726,80744,80136,79826,79493,79137,78552,78191,77735,77624,77540,77670,77871,78106,78191,78169,78238,78555,79057,79604,80190,80765,81425,82206,83047,83932,84887,85919,86895,87707,88517,89320,90197,90899,91500,91935,92357,92874,93388,93935,94455,95014,95542,95992,96384,96857,97423,98165,98872,99432,99936,100430,100914,101392,101819,102428,103059,103796,104519,105135,105668,106111,106630,107015,107614,108275,109152,109921,110740,111482,112190,112873,113766,114838,115869,117083,118178,119364,120475,121469,122492,123401,124550,125723,126971,128118,129206,130226,131275,132338,133265,134139,134885,135712,136484,137257,137866,138481,139144,139785,140402,140923,141520,142215
9,36,North Carolina,10,73150.0,73426.0,73719.0,74026.0,74386.0,74691.0,75019.0,75363.0,75704.0,76118.0,76520.0,76955.0,77308.0,77635.0,77951.0,78280.0,78639.0,79070.0,79409.0,79749.0,80128.0,80428.0,80639.0,80748.0,81020.0,81486.0,81946.0,82346.0,82542.0,82749.0,83062.0,83338.0,83557.0,83744.0,84050.0,84403.0,84735.0,84966.0,85174.0,85402.0,85701.0,85998.0,86269.0,86540.0,86830.0,87100.0,87486.0,87863.0,88263.0,88584.0,88942.0,89272.0,89588.0,89895.0,90171.0,90532.0,90873.0,91277.0,91461.0,91673.0,91815.0,92018.0,92186.0,92368.0,92616.0,92841.0,93107.0,93273.0,93463.0,93562.0,93712.0,93805.0,93928.0,94082.0,94248.0,94444.0,94556.0,94675.0,94731.0,94803.0,94826.0,94959.0,95148.0,95397.0,95551.0,95662.0,95721.0,95765.0,95853.0,95924.0,96045.0,96171.0,96364.0,96609.0,96845.0,97100.0,97320.0,97553.0,97801.0,98065.0,98283.0,98588.0,98876.0,99242.0,99591.0,99774.0,99948,99995,100278,100537,100948,101352,101844,102288,102801,103271,103752,104262,104806,105423,105968,106564,107076,107629,108153,108682,109169,109637,110113,110616,111044,111458,111833,112213,112617,112986,113343,113601,113758,113884,113988,114160,114243,114284,114200,114083,113862,113545,113251,112952,112661,112191,111635,110972,110455,109973,109483,108917,108340,107864,107278,106786,106353,106145,105917,105659,105292,104918,104663,104420,104150,103683,103181,102591,102027,101389,100770,100122,99510,98868,98125,97441,96812,96334,95880,95522,95093,94697,94343,94094,93859,93632,93495,93314,93111,92922,92855,92808,92803,92794,92770,92755,92772,92919,93093,93333,93655,93982,94272,94426,94603,94760,95022,95238,95453,95546,95618,95684,95697,95702,95700,95856,96025,96269,96482,96784,97101,97480,97799,98092,98378,98709,99070,99372,99662,99904,100109,100321,100571,100878,101253,101708,102257,102802,103331,103867,104405,104982,105594,106169,106712,107250,107884,108520,109100,109644,110237,110890,111645,112376,113154,113870,114675,115429,116150,116867,117633,118477,119275,120021,120692,121437,122191,122979,123659,124364,125087,125804,126496,127151,127827,128519,129220,129868,130474,131093
