State,2015 Yearly Rent,2016 Yearly Rent,2017 Yearly Rent,'15-'16 Rent Diff.,'16-'17 Rent Diff.,2015 Income,2016 Income,2017 Income,'15-'16 Income Diff.,'16-'17 Income Diff.
Alabama,11275.0,11690.0,11970.0,415.0,280.0,46053,48237,51113,2184,2876
Alaska,20255.0,19727.5,19060.0,-527.5,-667.5,77717,77351,72231,-366,-5120
Arizona,14695.0,15020.0,16037.5,325.0,1017.5,54060,58328,61125,4268,2797
Arkansas,11980.0,12230.0,12540.0,250.0,310.0,44282,46894,48829,2612,1935
California,26834.0,28485.0,31235.0,1651.0,2750.0,65843,68070,69759,2227,1689
Colorado,19495.0,20430.0,21545.0,935.0,1115.0,68906,72084,74172,3178,2088
Connecticut,20900.0,20507.5,20970.0,-392.5,462.5,75417,77556,72780,2139,-4776
Delaware,15645.0,15750.0,15850.0,105.0,100.0,59759,59294,62318,-465,3024
District of Columbia,30120.0,30425.0,31265.0,305.0,840.0,72501,72508,83382,7,10874
Florida,19720.0,20120.0,20805.0,400.0,685.0,50518,52277,53681,1759,1404
Georgia,13775.0,14376.0,15554.0,601.0,1178.0,52529,54678,57016,2149,2338
Hawaii,28447.5,27858.5,27882.0,-589.0,23.5,66751,73684,73575,6933,-109
Idaho,11992.0,12510.0,14270.0,518.0,1760.0,53414,57780,60208,4366,2428
Illinois,19044.0,18940.0,19033.0,-104.0,93.0,62508,62706,64609,198,1903
Indiana,11770.0,11882.0,12494.0,112.0,612.0,53786,57300,58873,3514,1573
Iowa,12557.5,12837.5,12899.5,280.0,62.0,62965,60365,63481,-2600,3116
Kansas,12920.0,12810.0,12840.0,-110.0,30.0,56768,58032,57872,1264,-160
Kentucky,11846.0,12008.0,12810.0,162.0,802.0,43857,46345,51348,2488,5003
Louisiana,14795.0,14700.0,15135.0,-95.0,435.0,47515,43103,43903,-4412,800
Maine,17700.0,17257.0,20195.0,-443.0,2938.0,52516,51950,51664,-566,-286
Maryland,20430.0,20265.0,20345.0,-165.0,80.0,76146,75346,81084,-800,5738
Massachusetts,29129.5,29569.5,30225.0,440.0,655.5,70214,73820,73227,3606,-593
Michigan,11482.0,12220.0,12844.0,738.0,624.0,56083,58319,57700,2236,-619
Minnesota,16850.0,16970.0,17793.0,120.0,823.0,71114,71728,71920,614,192
Mississippi,12110.0,12387.5,13090.0,277.5,702.5,41426,41983,43441,557,1458
Missouri,10755.0,11085.0,11335.0,330.0,250.0,61249,56199,56885,-5050,686
Montana,12465.0,13320.0,14415.0,855.0,1095.0,53177,58302,59087,5125,785
Nevada,14850.0,15119.0,16165.0,269.0,1046.0,53812,56623,56550,2811,-73
New Hampshire,17570.0,18290.0,19302.5,720.0,1012.5,78299,77900,74801,-399,-3099
New Jersey,22275.0,22450.0,22995.0,175.0,545.0,70728,69940,72997,-788,3057
New Mexico,13475.0,13705.0,14185.0,230.0,480.0,46684,49493,47855,2809,-1638
New York,37278.0,36950.0,38429.0,-328.0,1479.0,60017,62758,62447,2741,-311
North Carolina,13178.0,13735.0,14945.0,557.0,1210.0,52559,54920,50343,2361,-4577
Ohio,12036.5,12450.0,12249.0,413.5,-201.0,55150,55146,59768,-4,4622
Oklahoma,13345.0,12614.5,12454.0,-730.5,-160.5,48710,52039,55006,3329,2967
Oregon,17420.0,18905.0,20715.0,1485.0,1810.0,62944,60407,64610,-2537,4203
Pennsylvania,16032.0,15895.0,16050.0,-137.0,155.0,62483,62290,63173,-193,883
Rhode Island,20972.5,21150.0,22837.5,177.5,1687.5,57633,62851,66390,5218,3539
South Carolina,14600.0,14870.0,15650.0,270.0,780.0,47968,55505,54971,7537,-534
South Dakota,12452.5,12600.0,13490.5,147.5,890.5,56975,58685,56894,1710,-1791
Tennessee,13385.0,14045.0,15115.0,660.0,1070.0,48971,52448,55240,3477,2792
Texas,16895.0,16964.5,17866.5,69.5,902.0,58432,59396,59295,964,-101
Utah,14827.5,15245.5,16581.0,418.0,1335.5,68556,68932,71319,376,2387
Virginia,19090.0,19145.0,19320.0,55.0,175.0,63618,67880,71293,4262,3413
Washington,18820.0,20085.0,23054.0,1265.0,2969.0,69575,71822,75418,2247,3596
West Virginia,12967.5,12555.0,11842.5,-412.5,-712.5,44309,45308,45392,999,84
Wisconsin,13400.0,13510.0,14151.5,110.0,641.5,57347,61103,63451,3756,2348
Wyoming,14487.5,13457.5,12850.0,-1030.0,-607.5,63038,59073,57837,-3965,-1236
