,RegionID,RegionName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01
0,9,California,1,189758.0,189527.0,189376.0,189316.0,189383.0,189504.0,189830.0,190198.0,190706.0,191018.0,191379.0,191868.0,192647.0,193582.0,194515.0,195568.0,196625.0,197830.0,198885.0,200131.0,201468.0,203184.0,205058.0,206855.0,208512.0,210026.0,211639.0,213183.0,214880.0,216651.0,218469.0,220094.0,221484.0,223108.0,224837.0,226650.0,228250.0,229909.0,231823.0,233822.0,235611.0,237229.0,239145.0,241435.0,243999.0,246446.0,248811.0,251208.0,253852.0,256665.0,259607.0,262584.0,265772.0,269035.0,272226.0,275387.0,278556.0,281611.0,284776.0,288054.0,291434.0,294427.0,297000.0,299264.0,301451.0,303706.0,306034.0,308343.0,310668.0,313080.0,315681.0,318368.0,321265.0,324425.0,328163.0,332453.0,336960.0,341383.0,345847.0,350576.0,355454.0,360095.0,364368.0,368582.0,372829.0,377182.0,380887.0,384980.0,389588.0,395148.0,400732.0,406730.0,412587.0,419335.0,426569.0,434333.0,442321.0,451227.0,461540.0,471582.0,480881.0,489320.0,497793.0,505810.0,514131.0,521833,529929,537958,546298,553718,560135,566861,573823,581244,587999,593405,598309,602330,605833,608841,611194,613670,614900,614993,614180,612360,610355,608529,606595,604889,602645,600069,597073,592769,588246,582814,577251,570567,563099,555714,547403,538879,528084,516364,503814,491744,480482,469370,458985,449615,441140,431377,422017,413285,408356,403753,399760,396159,394011,393249,392725,392357,392711,395083,397801,399984,400024,401345,402940,404962,404374,402838,401060,399834,398032,395397,393100,391235,389665,387203,384663,381236,379260,377755,376282,374413,372369,371536,370187,369262,368548,368813,369778,371751,374057,376722,380086,384005,388844,393290,399122,404991,411856,419460,427817,436435,445118,453732,461886,469032,475178,480927,486095,491297,495677,497946,498881,499175,499884,501027,501698,503101,504724,507395,509165,510963,513174,516730,519793,522878,525168,527490,530214,533348,536615,539191,542946,546210,548773,550303,552939,555699,558541,561069,564298,567170,570238,572861,575051,577614,580478,583964,587091,590506,594234,597134,599816,602844,606541,610973,615638,620521,625302,629331,632203,634346,636373,638511,640040,640797,641472,642061,641670,640778,639327,638758,639116,639857,640576,641768,643456,645736,647860,650003,653073,656638
1,54,Texas,2,152532.0,152668.0,152731.0,152725.0,152791.0,152972.0,153245.0,153542.0,153851.0,153796.0,153720.0,153592.0,153756.0,153829.0,154004.0,154222.0,154458.0,154603.0,154740.0,154948.0,155200.0,155870.0,156494.0,157102.0,157157.0,157344.0,157551.0,157893.0,158140.0,158425.0,158563.0,158557.0,158483.0,158694.0,159336.0,160278.0,161309.0,162278.0,163236.0,164172.0,164964.0,165564.0,166217.0,166977.0,167815.0,168399.0,168770.0,168939.0,169177.0,169176.0,169166.0,169044.0,169246.0,169516.0,169808.0,170153.0,170514.0,170662.0,170518.0,170121.0,169835.0,169805.0,169804.0,169881.0,169770.0,169833.0,169905.0,169995.0,169998.0,170057.0,170255.0,170645.0,171122.0,171620.0,172222.0,172780.0,173405.0,173887.0,174328.0,174698.0,175091.0,175362.0,175374.0,175243.0,175202.0,175308.0,175573.0,175822.0,176187.0,176462.0,176857.0,177228.0,177693.0,178484.0,179929.0,181864.0,183491.0,184670.0,185273.0,186032.0,186660.0,187519.0,188287.0,189047.0,189804.0,190633,191238,191534,191698,191932,192424,192833,193218,193503,193651,194001,194193,194616,195060,195671,196250,196952,197634,198320,198973,199655,200540,201240,201981,202430,202657,202698,202919,203293,203795,204116,204675,205209,205729,206029,206337,205924,205260,204359,203859,203300,202751,202330,201780,201133,200426,199638,198835,198490,198583,198822,198723,198594,198512,198646,198654,198638,198492,198874,199208,199409,199392,199482,199717,199745,199536,198791,198013,197306,196815,196189,195707,195270,194671,193900,193127,192602,192189,192159,192290,192543,192672,192506,192281,192247,192691,193332,193928,194517,195077,195663,196203,196680,197167,197978,198945,200128,201168,202462,203832,205241,206641,208090,209598,211208,212909,214597,216104,217385,218728,219833,220937,222016,223381,224790,226359,227884,229375,230832,232342,233941,235496,237192,238844,240436,241947,243302,244495,245556,246739,247794,248957,250181,251344,252379,253337,254541,255584,256728,257686,258712,259600,260799,262062,263139,264246,265224,266291,267110,267994,268766,269554,270469,271475,272414,273151,273769,274487,275532,276777,277868,278784,279512,280387,281027,281757,282298,283108,283994,284820,285265,285518,285906,286373,286954,287386,287850,288144,288473,288603,288697
2,43,New York,3,142913.0,142778.0,142678.0,142556.0,142444.0,142389.0,142399.0,142457.0,142567.0,142495.0,142714.0,142942.0,143307.0,143438.0,143602.0,143904.0,144183.0,144443.0,144616.0,144988.0,145387.0,146295.0,146857.0,147416.0,147500.0,147741.0,147994.0,148115.0,148544.0,149061.0,149871.0,150357.0,150867.0,151091.0,151591.0,152117.0,152959.0,153854.0,154822.0,156160.0,157209.0,158236.0,158931.0,159733.0,160439.0,161112.0,162095.0,163228.0,164559.0,165727.0,166844.0,167557.0,168213.0,168860.0,169679.0,170670.0,171750.0,172890.0,173812.0,174717.0,175575.0,176546.0,177517.0,178594.0,179722.0,180809.0,182003.0,183219.0,184486.0,185756.0,186988.0,188194.0,189431.0,190723.0,192046.0,193439.0,194863.0,196304.0,197712.0,199236.0,200868.0,202454.0,204048.0,205784.0,207416.0,208955.0,210452.0,211945.0,213645.0,215505.0,217442.0,219096.0,220618.0,222201.0,223809.0,225264.0,226859.0,228564.0,230450.0,232408.0,234315.0,236181.0,237832.0,239625.0,241361.0,243239,245165,246934,248681,250466,252305,254140,255982,257887,259794,261500,263203,264700,266091,267554,268937,270095,271045,271850,272501,272918,273325,273753,274170,274438,274665,274717,274676,274747,274908,275149,275326,275420,275678,275931,275990,275918,275516,275202,274659,274091,273304,272346,271382,270407,269157,267797,266511,265444,264594,263752,262941,262026,261124,260403,259927,259644,259584,259567,259571,259347,259263,259212,259545,259752,260043,259975,259419,258610,257604,256828,256061,255605,255084,254510,253548,252607,251565,250782,250313,249996,249814,249419,249059,248636,248117,247751,247485,247521,247580,247750,247970,248255,248413,248644,248949,249310,249901,250352,251022,251592,252362,253106,253756,254338,254995,255701,256361,256950,257448,258070,258549,258939,259204,259314,259437,259609,259947,260362,260832,261297,261601,261763,261982,262318,262741,263332,263936,264543,264937,265180,265305,265505,266170,267091,267896,268551,269003,269558,270202,270892,271825,272804,274053,275050,275711,276174,277103,278364,279920,281097,282146,283112,284071,285203,286172,287494,288790,290101,291087,291953,292924,294238,295705,297188,298386,299296,300057,300779,301650,302634,303546,304394,305033,305550,305969,306379,306934,307581,308319,308907
3,14,Florida,4,140132.0,140411.0,140747.0,141064.0,141348.0,141523.0,141714.0,141909.0,142149.0,142172.0,142285.0,142415.0,142817.0,143167.0,143486.0,143799.0,144129.0,144492.0,144806.0,145206.0,145615.0,146526.0,147267.0,147944.0,148097.0,148366.0,148481.0,148680.0,149000.0,149669.0,150456.0,151051.0,151526.0,151652.0,151897.0,152184.0,152798.0,153466.0,154390.0,155329.0,156185.0,156742.0,157200.0,157824.0,158529.0,159344.0,160222.0,161214.0,162248.0,163161.0,164030.0,164880.0,165741.0,166679.0,167705.0,168802.0,169935.0,171066.0,172228.0,173379.0,174538.0,175769.0,177013.0,178366.0,179750.0,181270.0,182770.0,184272.0,185685.0,187085.0,188391.0,189725.0,191083.0,192521.0,194020.0,195533.0,197116.0,198594.0,200164.0,201737.0,203608.0,205579.0,207696.0,209776.0,211887.0,213852.0,215668.0,217371.0,219116.0,221100.0,223316.0,225753.0,228106.0,230524.0,232989.0,235547.0,238059.0,240846.0,243959.0,247414.0,251214.0,255196.0,259363.0,263501.0,267874.0,272437,277254,282279,287585,293385,299877,307051,314369,321627,328218,334546,340556,346444,351645,356787,361822,366299,369563,371472,372469,372505,372341,371883,371086,369780,368545,366922,364890,362357,359022,355079,350776,346577,342362,337966,333460,328468,322974,316923,311002,304672,298994,293285,287851,282497,276999,271209,265385,259947,255107,250675,246289,242524,239083,236585,234347,232338,230609,229687,228977,228459,227836,227487,227106,226664,225759,224424,222773,221029,219312,217423,215736,213952,212362,210565,209005,207462,206351,205369,204738,204311,204136,204061,203987,204065,204196,204715,205437,206286,207290,208429,209755,211089,212484,213952,215657,217775,220176,222696,225173,227926,230616,233513,236450,239485,242161,244692,246904,248853,250440,251946,253301,254455,255387,256219,256732,257307,258307,259521,260750,261845,263082,264318,265598,266926,268378,269711,271269,272884,274487,275884,277511,279205,280965,282400,283732,285015,286458,288122,289694,291085,292307,293693,295043,296742,298342,299910,301513,303052,304676,305976,307474,308966,310489,311964,313408,314379,315473,316900,318671,320387,321709,323011,324223,325494,326645,327759,328920,329894,330464,330704,331017,331379,331950,332654,333333,333992,334744,335500,336224,337249
4,21,Illinois,5,184643.0,183891.0,183428.0,182782.0,183393.0,184345.0,186370.0,188036.0,189353.0,189883.0,189998.0,190243.0,190093.0,190336.0,190077.0,189829.0,187017.0,183538.0,178325.0,174273.0,171271.0,170064.0,169771.0,169616.0,169633.0,169645.0,169719.0,170208.0,172033.0,174562.0,177870.0,180636.0,182745.0,183766.0,184404.0,185076.0,185923.0,186647.0,187820.0,189063.0,190314.0,191156.0,192163.0,193361.0,194668.0,196218.0,197759.0,199322.0,200693.0,202039.0,203292.0,204496.0,205803.0,207236.0,208691.0,210220.0,211789.0,213288.0,214583.0,215879.0,217239.0,218839.0,220357.0,221795.0,223131.0,224561.0,226050.0,227512.0,228843.0,230066.0,231348.0,232826.0,234142.0,235471.0,236704.0,238189.0,239648.0,241077.0,242457.0,243693.0,245110.0,246532.0,248171.0,249626.0,251184.0,252430.0,253651.0,254789.0,256221.0,257815.0,259412.0,260997.0,262455.0,264179.0,265797.0,267438.0,269166.0,271086.0,273258.0,275287.0,277189.0,278798.0,280486.0,282373.0,284436.0,286254,288101,289925,291941,293945,296007,298112,300176,302544,304843,306902,308732,310411,312052,313543,314902,316198,317199,318054,318831,319398,319828,320158,320565,321161,321685,321651,321309,320413,319881,319033,318453,317300,316334,315325,314203,313055,310922,309617,307273,305901,303334,301371,298527,296556,293958,291520,288385,284917,282143,279263,277039,274454,272161,270611,269120,267565,266056,264960,264476,263940,263312,262135,261898,260929,260776,258689,257508,255593,254509,252319,250637,248740,247658,246229,244272,242614,240776,240305,239266,238733,236948,236042,234633,233993,232374,232209,231844,232251,231951,231355,230819,230432,231074,232033,232872,233979,235344,236423,237990,239147,241082,242877,245277,247336,249613,250841,252385,253255,254590,255080,255167,255490,256434,257425,257856,258366,258501,259061,259394,259703,259594,260171,261191,262246,262337,262468,262631,262960,263209,263465,263988,264702,266022,267067,267895,268418,269161,270100,270942,271642,272425,273523,274664,275846,276689,277845,278883,279816,280404,280879,281544,282351,283331,284232,285233,286225,286953,287267,287588,288045,288787,289322,289899,290509,291046,291462,291627,291590,291767,292033,292383,292679,292842,293114,293216,293193,293073,292971,292941,293000
5,47,Pennsylvania,6,150010.0,149799.0,149671.0,149607.0,149641.0,149695.0,149822.0,149967.0,150191.0,150392.0,150624.0,150917.0,151302.0,151718.0,152115.0,152507.0,152726.0,152959.0,153127.0,153484.0,153836.0,154294.0,154723.0,155109.0,155401.0,155630.0,155827.0,156016.0,156427.0,156891.0,157440.0,157701.0,157868.0,157996.0,158246.0,158589.0,158980.0,159386.0,159860.0,160393.0,160911.0,161476.0,162038.0,162764.0,163600.0,164506.0,165489.0,166411.0,167360.0,168309.0,169255.0,170133.0,170867.0,171582.0,172331.0,173172.0,174079.0,174989.0,175860.0,176763.0,177608.0,178359.0,179037.0,179816.0,180649.0,181563.0,182417.0,183455.0,184396.0,185441.0,186487.0,187657.0,188941.0,190191.0,191451.0,192667.0,194207.0,195724.0,197353.0,198659.0,200119.0,201540.0,202963.0,204362.0,205720.0,207259.0,208903.0,210544.0,212001.0,213453.0,215035.0,216675.0,218225.0,219651.0,221429.0,223266.0,225219.0,227192.0,229079.0,231181.0,233192.0,235396.0,237328.0,239436.0,241575.0,244023,246066,247972,249871,251909,254256,256553,259040,261388,263749,265912,268089,269972,271688,273240,274765,276271,277691,278807,279734,280389,281002,281492,281844,282179,282581,283103,283444,283659,283602,283831,283958,284120,284160,284168,284003,283511,282827,282000,281238,280447,279644,278583,277443,276280,275088,273914,272708,271692,271026,270463,269862,269015,268304,267662,267134,266711,266642,266866,267179,267487,267601,267791,267918,268072,267925,267551,266902,266113,265019,263697,262416,261322,260279,259121,257817,256553,255479,254665,254214,253821,253485,253082,252761,252287,251877,251554,251531,251576,251521,251380,251320,251358,251592,251905,252309,252853,253453,254056,254691,255426,256349,257396,258271,259199,259875,260620,261190,261818,262383,262868,263138,263328,263654,264000,264282,264420,264601,264819,265052,265156,265190,265490,266080,266899,267338,267616,267889,268350,268929,269508,270025,270676,271515,272075,272351,272381,272918,273644,274483,275106,275697,276282,277080,277661,278285,278877,279883,280920,281926,282850,283789,284785,285829,286742,287735,288957,290106,291694,293053,294427,295129,295650,296183,296957,297714,298590,299316,300144,301069,301664,302184,302724,303705,304820,305879,306747,307593,308404,309249,309947
6,44,Ohio,7,140519.0,140933.0,141338.0,141702.0,142130.0,142571.0,143018.0,143446.0,143883.0,144323.0,144755.0,145186.0,145605.0,146055.0,146519.0,147007.0,147392.0,147743.0,148072.0,148464.0,148889.0,149365.0,149877.0,150379.0,150812.0,151240.0,151692.0,152208.0,152726.0,153292.0,153896.0,154467.0,154909.0,155225.0,155583.0,156027.0,156518.0,156899.0,157247.0,157646.0,158160.0,158693.0,159248.0,159782.0,160495.0,161356.0,162228.0,162942.0,163607.0,164403.0,165250.0,165983.0,166645.0,167273.0,167881.0,168493.0,169090.0,169629.0,170096.0,170616.0,171173.0,171679.0,172089.0,172524.0,172971.0,173439.0,173920.0,174426.0,174862.0,175278.0,175695.0,176159.0,176630.0,177090.0,177584.0,178094.0,178577.0,179042.0,179507.0,180008.0,180530.0,181066.0,181614.0,182129.0,182657.0,183204.0,183780.0,184365.0,185052.0,185774.0,186457.0,187027.0,187594.0,188137.0,188708.0,189291.0,189817.0,190373.0,190902.0,191492.0,191962.0,192411.0,192879.0,193420.0,193976.0,194570,195169,195764,196362,196861,197345,197759,198242,198720,199192,199724,200203,200615,200883,201124,201370,201601,201820,202005,202127,202073,202017,201907,201801,201690,201666,201419,201047,200542,200102,199585,199101,198849,198590,198097,197588,197102,196605,196258,195759,195383,194824,194451,193950,193261,192361,191667,190836,189874,188677,187602,186834,186239,185756,185238,184793,184493,184410,184262,184236,184260,184615,184684,184742,184562,184405,183898,183315,182629,181951,181226,180422,179704,178881,178236,177431,176732,175980,175552,175181,174841,174404,174076,173907,173661,173404,173251,173265,173138,172963,172794,172877,173103,173379,173612,173853,174394,175059,175731,176365,177211,178181,179149,179990,180679,181465,182169,182727,182797,182751,182686,182860,183117,183537,183938,184249,184604,184946,185460,186105,187049,188126,189116,189871,190591,191221,191916,192557,193235,193823,194386,194927,195547,196099,196779,197449,198089,198760,199530,200438,201318,202217,203214,204308,205493,206604,207639,208661,209630,210614,211427,212445,213553,214853,216006,217033,217667,218483,219505,220985,222340,223487,224509,225401,226179,226932,227933,228940,230056,230902,231722,232238,232889,233693,234665,235609,236598,237500,238256,239049,239943
7,30,Michigan,8,143527.0,144468.0,145481.0,146425.0,147298.0,148099.0,148879.0,149790.0,150734.0,151891.0,152953.0,154054.0,154845.0,155641.0,156261.0,156967.0,157719.0,158578.0,159447.0,160206.0,160919.0,161320.0,161778.0,162282.0,163064.0,163864.0,164741.0,165646.0,166618.0,167618.0,168641.0,169539.0,170420.0,171224.0,172292.0,173281.0,174402.0,175399.0,176535.0,177627.0,178789.0,179824.0,180917.0,181984.0,183105.0,184502.0,185717.0,187016.0,188060.0,189323.0,190543.0,191960.0,193183.0,194345.0,195275.0,196371.0,197484.0,198485.0,199313.0,200105.0,200896.0,201678.0,202359.0,203001.0,203662.0,204440.0,205303.0,206155.0,206958.0,207758.0,208615.0,209472.0,210290.0,210934.0,211553.0,212029.0,212563.0,213016.0,213444.0,213878.0,214281.0,214763.0,215316.0,215711.0,216228.0,216833.0,217612.0,218344.0,219059.0,219842.0,220721.0,221436.0,222164.0,222792.0,223440.0,224162.0,224760.0,225350.0,225872.0,226564.0,227232.0,227840.0,228414.0,229082.0,229721.0,230368,230826,231371,231878,232522,233005,233387,233704,234127,234500,234821,235096,235348,235594,235708,235739,235465,234950,234359,233655,232927,232046,231176,230132,229036,228019,226942,225834,224339,223150,221731,220740,219224,217746,215949,214490,212969,211241,209256,207077,205248,203408,201608,199374,197256,195360,193582,191510,189045,186677,184431,182337,180313,178196,176729,175395,174719,173817,173277,172663,172747,172711,172879,173205,173605,174099,173754,173334,172485,171844,170978,170484,169832,169585,169027,168562,168052,167703,167712,167984,168466,168873,169294,169809,170220,170411,171020,171684,172696,173597,174794,175998,177142,178594,180048,181197,182388,183970,185956,188029,189928,191937,193993,196129,198389,200283,202129,204025,206033,207792,208916,209845,210715,211783,212653,213257,213629,214102,214813,215603,216370,217114,218115,218970,219708,220278,220932,221751,222412,223219,224068,225166,226142,227091,227708,228621,229588,230762,232028,233322,234844,236246,237430,238459,239534,240615,242167,243823,245651,246922,247789,248683,249895,251259,252742,254109,255757,257427,258849,260164,261425,262995,264615,266197,267535,268594,269559,270686,271579,272438,273177,273905,274543,275155,275881,276570,277191,277924,278663,279310,279936
8,16,Georgia,9,143702.0,144137.0,144618.0,145059.0,145500.0,145923.0,146394.0,146864.0,147396.0,147725.0,148125.0,148549.0,149152.0,149687.0,150119.0,150594.0,151199.0,151878.0,152518.0,153065.0,153630.0,154589.0,155510.0,156345.0,156777.0,157370.0,158061.0,158804.0,159407.0,159999.0,160630.0,161491.0,162234.0,162875.0,163481.0,164281.0,165245.0,166165.0,167133.0,168177.0,169167.0,170119.0,171008.0,171891.0,172760.0,173556.0,174456.0,175429.0,176543.0,177596.0,178584.0,179484.0,180475.0,181504.0,182568.0,183545.0,184594.0,185643.0,186602.0,187415.0,188122.0,188897.0,189628.0,190389.0,191130.0,191883.0,192611.0,193347.0,194071.0,194740.0,195410.0,195987.0,196578.0,197098.0,197640.0,198129.0,198567.0,198966.0,199389.0,199793.0,200128.0,200532.0,200928.0,201439.0,201808.0,202184.0,202555.0,202956.0,203379.0,203818.0,204263.0,204754.0,205296.0,205783.0,206284.0,206791.0,207437.0,208020.0,208547.0,209114.0,209828.0,210581.0,211343.0,212020.0,212722.0,213443,214233,214991,215817,216754,217765,218661,219468,220339,221236,222269,223198,224255,225167,226039,226705,227393,228177,229109,230000,230810,231545,232235,232950,233576,234171,234795,235320,235693,235753,235657,235444,235052,234609,234018,233583,232682,231637,230173,229053,227853,226628,225100,223369,221685,219880,217757,214978,212436,210038,208008,205493,203117,201037,199734,198767,197851,196639,195741,195273,194872,194315,193669,193511,193443,193037,191603,189689,187469,185726,183930,182601,181041,179835,178018,176189,174007,172161,170878,170379,170463,170511,170334,169446,168891,168290,168825,169333,170206,171064,172018,172474,172483,172672,173598,174970,176598,178295,179966,181589,183348,185165,186980,189102,191489,193758,195493,197235,198688,200184,201219,202230,202961,203626,204491,205267,206054,206803,207703,208546,209326,209988,210570,211332,212388,213683,214692,215660,216586,217506,218420,219272,220388,221473,222879,224186,225343,226073,226762,227570,228284,229225,230173,231444,232439,233567,234599,235735,236911,238367,239902,241192,242720,244089,245705,247188,248988,250708,252069,253350,254651,256110,257437,258723,259978,261386,262756,263895,264693,265407,266357,267390,268372,269131,269934,270831,271611,272262,272772,273418,274171
9,36,North Carolina,10,169302.0,169885.0,170497.0,171099.0,171808.0,172431.0,173223.0,174046.0,174956.0,176052.0,177062.0,177991.0,178707.0,179496.0,180277.0,181039.0,181741.0,182532.0,183032.0,183496.0,183807.0,183938.0,184085.0,184344.0,184910.0,185630.0,186339.0,187089.0,187690.0,188311.0,189020.0,189637.0,190302.0,190818.0,191443.0,192010.0,192667.0,193173.0,193613.0,194109.0,194588.0,195127.0,195649.0,196399.0,197197.0,198065.0,198954.0,199750.0,200469.0,201171.0,201922.0,202629.0,203309.0,203971.0,204685.0,205415.0,206120.0,206848.0,207418.0,208002.0,208567.0,209139.0,209702.0,210134.0,210664.0,211183.0,211700.0,212082.0,212400.0,212721.0,213071.0,213479.0,213771.0,214102.0,214322.0,214663.0,214932.0,215263.0,215566.0,215892.0,216255.0,216673.0,217096.0,217490.0,217853.0,218257.0,218695.0,219161.0,219699.0,220176.0,220694.0,221246.0,221882.0,222514.0,223119.0,223727.0,224437.0,225135.0,225877.0,226550.0,227212.0,227988.0,228854.0,229825.0,230783.0,231780,232934,234092,235235,236308,237496,238805,240179,241543,242971,244355,245757,247058,248362,249674,251078,252597,254141,255757,257371,258969,260398,261709,262989,264255,265331,266483,267724,269049,270291,271328,272187,272807,273251,273709,274090,274353,274313,273950,273358,272642,271794,270849,270042,269146,268144,266733,265152,263561,262504,261560,260352,258792,257343,256203,254931,253868,253061,252667,252233,251900,251191,250566,250161,250057,249717,248935,248067,247085,246166,245197,244361,243413,242446,241287,239990,238759,237854,237135,236425,235851,235071,234315,233665,233150,232911,232730,232962,232977,232895,232855,233076,233309,233663,234058,234361,234757,235101,235926,236738,237866,238955,240104,241203,242234,243326,244274,245383,246323,247280,247808,248120,248352,248562,248763,248845,249086,249370,249921,250522,251311,252155,253175,254033,254695,255371,256268,257362,258284,259106,259726,260207,260739,261367,261965,262910,264138,265616,266884,267978,269159,270320,271654,273012,274325,275464,276797,278112,279355,280323,281141,282140,283217,284618,285833,287172,288478,289964,291243,292346,293508,294777,296281,297590,298800,299593,300538,301408,302503,303438,304396,305380,306280,307157,307936,308776,309610,310576,311453,312284,312927
