,RegionID,RegionName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01
0,9,California,1,254237.0,254006.0,253930.0,253900.0,254045.0,254258.0,254831.0,255516.0,256473.0,257385.0,258266.0,259335.0,260502.0,262038.0,263556.0,265374.0,267196.0,269244.0,270991.0,272934.0,274901.0,277112.0,279598.0,282049.0,284655.0,287086.0,289597.0,292003.0,294616.0,297336.0,300036.0,302478.0,304569.0,306938.0,309408.0,312032.0,314403.0,316781.0,319545.0,322371.0,324962.0,327246.0,330113.0,333452.0,337218.0,340848.0,344358.0,347898.0,351744.0,355912.0,360330.0,364783.0,369428.0,374125.0,378653.0,383257.0,387901.0,392382.0,396849.0,401332.0,405881.0,409785.0,412873.0,415447.0,417973.0,420706.0,423428.0,425927.0,428370.0,430904.0,433888.0,437114.0,440678.0,444633.0,449383.0,454920.0,460538.0,465934.0,471400.0,477356.0,483519.0,489298.0,494568.0,499631.0,504715.0,509869.0,514329.0,519447.0,525432.0,532741.0,539939.0,547665.0,554985.0,563795.0,573153.0,583290.0,593504.0,604840.0,617951.0,630332.0,641662.0,651759.0,662235.0,672028.0,682484.0,691965,702035,712197,722732,732126,739884,748287,756919,766208,774518,781129,787054,791887,795996,799231,801743,804589,806266,806423,805538,803524,801365,799572,797667,796164,793848,791005,787400,782028,776292,769536,762886,754974,746138,737466,727689,717438,704407,690383,675728,661721,648811,636227,624556,613821,603789,591717,580047,569154,563350,557791,553014,548654,546161,545223,544136,543362,543793,547103,550847,553840,553937,555636,557544,560060,559143,557026,554846,553340,551124,547641,544684,542336,540320,537353,534262,529945,527476,525736,524154,521976,519477,518627,517040,515969,515192,515787,517417,520364,523780,527573,532214,537612,544085,549992,557527,565238,574166,584067,594835,606048,617099,628016,638222,647092,654669,661634,668208,674824,680457,682831,683467,683246,683960,685600,686387,688149,690030,693720,696046,698209,700951,705883,710099,714151,716802,719275,722492,726439,730675,733669,738105,742130,745133,746543,749391,752473,755821,758632,762370,765248,768544,771384,773934,776781,779973,784035,787695,791842,796477,799874,802980,806816,811723,817613,823752,830334,836745,842123,845834,848582,851045,853278,854839,855311,856105,856745,855974,854542,852327,851403,851722,852472,853220,854953,857218,860250,862617,865012,868688,872971
1,54,Texas,2,232368.0,232458.0,232540.0,232499.0,232588.0,232838.0,233349.0,233879.0,234362.0,234482.0,234630.0,234730.0,235073.0,235333.0,235582.0,235995.0,236463.0,236922.0,237159.0,237499.0,238024.0,239094.0,240029.0,240877.0,241075.0,241447.0,241998.0,242631.0,243049.0,243324.0,243483.0,243477.0,243391.0,243459.0,244223.0,245488.0,247098.0,248576.0,249909.0,251310.0,252500.0,253520.0,254619.0,255940.0,257257.0,258275.0,258904.0,259245.0,259568.0,259502.0,259525.0,259347.0,259712.0,260045.0,260366.0,260674.0,261131.0,261452.0,261323.0,260810.0,260345.0,260345.0,260313.0,260425.0,260240.0,260416.0,260580.0,260776.0,260783.0,260824.0,261117.0,261689.0,262416.0,263160.0,264053.0,264873.0,265798.0,266520.0,267221.0,267813.0,268493.0,269006.0,269144.0,268990.0,268850.0,268884.0,269171.0,269446.0,269772.0,269987.0,270456.0,271086.0,271782.0,272899.0,274933.0,277839.0,280464.0,282449.0,283639.0,284984.0,286334.0,288017.0,289590.0,290927.0,292334.0,293994,295400,296250,296842,297610,298826,300000,301047,301862,302350,303198,303849,304783,305716,306834,307925,309177,310317,311497,312711,314056,315707,316958,318159,318777,319035,319135,319525,320079,320807,321180,321953,322596,323273,323648,324077,323340,322298,320859,320192,319414,318678,318168,317380,316432,315306,314012,312654,312178,312326,312690,312279,311839,311407,311305,310993,310826,310486,311132,311688,312009,311908,311917,312292,312443,312293,311297,310311,309281,308650,307644,306985,306413,305696,304767,303720,303055,302643,302926,303335,303901,304254,304315,304178,304342,305225,306448,307671,308799,309754,310604,311327,312042,312762,313990,315519,317391,319003,320972,323046,325285,327514,329793,332212,334731,337399,340023,342341,344220,346165,347741,349380,350844,352782,354887,357336,359695,361977,364121,366271,368657,371000,373578,375867,378114,380197,382044,383582,384939,386391,387653,389192,390748,392280,393500,394679,396095,397224,398486,399478,400507,401460,402845,404274,405532,406716,407687,408758,409646,410723,411492,412181,413057,414077,415053,415760,416135,416754,417976,419391,420380,420921,421379,422128,422548,423191,423570,424377,425191,425885,425970,425941,426211,426723,427351,427784,428297,428501,428768,428756,428876
2,43,New York,3,204116.0,203739.0,203500.0,203313.0,203129.0,202997.0,202973.0,202984.0,203074.0,203467.0,204368.0,205389.0,206149.0,206582.0,207012.0,207482.0,208025.0,208580.0,209154.0,210056.0,211129.0,212243.0,212744.0,213154.0,213506.0,214169.0,214832.0,215539.0,216628.0,217992.0,219546.0,220749.0,221784.0,222241.0,223045.0,223933.0,225619.0,227405.0,229483.0,232026.0,234183.0,236161.0,237785.0,239575.0,241424.0,243558.0,246205.0,249095.0,251816.0,254257.0,256468.0,258309.0,260098.0,261932.0,263981.0,266168.0,268505.0,270858.0,273017.0,275153.0,277270.0,279560.0,281868.0,284201.0,286506.0,288829.0,291427.0,294218.0,296921.0,299666.0,302215.0,304560.0,306940.0,309374.0,312058.0,314908.0,318242.0,321713.0,324966.0,328112.0,331573.0,335039.0,338685.0,342648.0,346582.0,350372.0,353984.0,357427.0,360607.0,363710.0,366933.0,370273.0,373400.0,376872.0,380117.0,383201.0,386128.0,389372.0,392945.0,396840.0,400950.0,405194.0,409364.0,413427.0,417274.0,421011,424989,429065,433431,437700,441619,445557,449497,453876,458076,461926,465930,469638,473207,475966,478578,480785,483219,485051,486497,487063,487427,487667,487744,487581,487262,487538,487151,487345,486950,487056,486779,486346,486315,486265,485846,485298,484228,482804,481385,479138,477156,474485,472328,469939,467157,464014,461041,458017,455229,452473,449815,447532,444950,442676,440395,438827,437675,437160,436794,436376,436122,435789,436000,435904,436175,436165,435652,434708,433182,431672,430041,429005,428080,427457,426065,424617,422763,421354,420369,419508,419055,418232,417560,416651,415479,414293,413452,413212,413443,413727,414185,414667,414863,415284,415772,416434,417596,418782,420356,421747,423062,424357,425425,426685,428279,430017,431649,433016,434130,435292,436258,437233,438193,438957,439808,440547,441504,442316,443499,444876,446279,447378,448273,449036,450096,451509,452951,454324,455267,456284,456782,457435,458437,460069,461853,463516,464586,465508,466543,467816,469373,471086,473387,475338,476802,477774,479297,481692,484760,487601,490036,492236,494390,496549,498435,500606,502951,505306,507229,509000,510777,512857,514944,517186,519381,521314,522564,523394,524092,525230,526404,527222,527777,528210,528787,529268,529702,530228,531220,532375
3,14,Florida,4,212963.0,213125.0,213413.0,213707.0,213992.0,214060.0,214185.0,214313.0,214579.0,215037.0,215624.0,216194.0,216693.0,217181.0,217627.0,218091.0,218544.0,219130.0,219609.0,220271.0,220879.0,221597.0,222095.0,222557.0,222965.0,223469.0,223663.0,223886.0,224339.0,225429.0,226747.0,227760.0,228602.0,228759.0,229157.0,229550.0,230568.0,231721.0,233522.0,235471.0,237248.0,238339.0,239239.0,240430.0,241782.0,243631.0,245448.0,247495.0,249234.0,250882.0,252280.0,253708.0,255098.0,256792.0,258625.0,260549.0,262515.0,264458.0,266633.0,268839.0,271155.0,273367.0,275659.0,277932.0,280423.0,282985.0,285613.0,288214.0,290688.0,293121.0,295323.0,297482.0,299639.0,301968.0,304376.0,306905.0,309512.0,312081.0,314624.0,317121.0,319985.0,323054.0,326325.0,329591.0,332774.0,335848.0,338627.0,341303.0,343884.0,346722.0,349970.0,353660.0,357354.0,361202.0,365028.0,368885.0,372662.0,376934.0,381725.0,386832.0,392533.0,398641.0,405064.0,411261.0,417730.0,424323,431424,438925,446855,455213,464358,474822,485356,495515,504532,513388,521820,530220,537518,544725,552032,558695,564033,567068,568850,569456,569816,569958,569486,568339,567266,565637,563268,560072,555432,549730,543433,537368,531500,525160,518666,511183,502626,493071,483667,473961,465324,456893,449214,441538,433530,424671,415671,407216,400117,393733,387495,382143,377366,373976,370559,367419,364795,363601,362866,362477,361907,361750,361609,361176,360138,358548,356740,354649,352372,349905,347747,345455,343340,340968,338916,336971,335510,334089,333147,332681,332730,332948,333068,333481,333976,334942,336120,337425,338970,340739,342751,344826,346893,349021,351522,354603,357979,361515,365049,368991,372748,376751,380805,384972,388706,392183,395124,397680,399894,402196,404002,405518,406598,407735,408437,409094,410237,411639,413206,414667,416241,417590,419200,420828,422781,424358,426208,428276,430283,432090,434041,436019,438008,439538,440894,442251,443894,445784,447467,448689,449805,451172,452622,454436,456134,457666,459321,460780,462360,463546,465089,466872,468648,470146,471436,472147,473268,474975,477032,479095,480501,482014,483397,484760,485990,487252,488726,489890,490337,490329,490501,490725,491313,491981,492610,493212,493922,494679,495346,496461
4,21,Illinois,5,251779.0,250495.0,249683.0,248817.0,249828.0,251342.0,254303.0,256776.0,258774.0,260119.0,260765.0,261502.0,261312.0,261789.0,261526.0,261016.0,256769.0,251547.0,243944.0,237952.0,233471.0,231062.0,230143.0,229565.0,229874.0,230077.0,230344.0,231172.0,233864.0,237560.0,242504.0,246821.0,250240.0,251940.0,253029.0,254062.0,255290.0,256402.0,258147.0,260099.0,261973.0,263352.0,264809.0,266509.0,268312.0,270772.0,273177.0,275625.0,277629.0,279579.0,281429.0,283130.0,285095.0,287228.0,289516.0,291831.0,294271.0,296578.0,298670.0,300695.0,302744.0,305153.0,307414.0,309611.0,311624.0,313705.0,315831.0,317969.0,319827.0,321538.0,323194.0,325207.0,327003.0,328814.0,330628.0,332789.0,334997.0,337062.0,339009.0,340696.0,342725.0,344720.0,347141.0,349263.0,351572.0,353358.0,354928.0,356349.0,358103.0,360201.0,362297.0,364393.0,366350.0,368763.0,370979.0,373261.0,375631.0,378365.0,381424.0,384264.0,386947.0,389332.0,391974.0,394926.0,397941.0,400584,403257,405872,408688,411467,414552,417769,420898,424213,427295,430043,432658,434999,437435,439667,441905,443881,445293,446414,447639,448737,449648,450306,451136,452439,453599,453834,453631,452748,452490,451568,450856,449222,448072,446930,445426,443939,440780,439073,435246,433188,429301,426723,422625,419883,416014,412534,407997,402751,398586,394131,391138,387402,384130,381819,379816,377645,375422,373616,372909,372130,371383,369691,369485,367887,367487,364115,362260,359453,358224,355327,353080,350336,348805,346899,344198,342214,339928,339792,338633,338244,335617,334486,332415,331824,329610,329838,329609,330550,330346,329677,329003,328368,329414,330907,332375,334104,336139,337478,339477,340835,343429,345822,349135,351886,354876,356259,358247,359252,361080,361635,361664,362002,363227,364478,364902,365598,365907,366760,367176,367551,367500,368390,369820,371225,371242,371361,371526,371953,372118,372339,372790,373443,374704,375657,376427,376788,377496,378334,379090,379475,380091,381102,382367,383663,384526,385654,386614,387326,387596,387750,388327,389196,390224,391109,392089,393249,394038,394295,394422,394826,395515,395970,396367,396880,397256,397563,397537,397136,397021,397064,397344,397546,397640,397871,397891,397703,397457,397220,397092,397109
5,47,Pennsylvania,6,159761.0,159518.0,159409.0,159375.0,159457.0,159573.0,159738.0,159884.0,160092.0,160459.0,160884.0,161366.0,161706.0,162122.0,162465.0,162832.0,162968.0,163148.0,163318.0,163783.0,164252.0,164602.0,164885.0,165209.0,165734.0,166144.0,166531.0,166837.0,167459.0,168042.0,168703.0,168999.0,169266.0,169408.0,169693.0,170017.0,170452.0,170914.0,171430.0,172048.0,172583.0,173235.0,173846.0,174658.0,175545.0,176668.0,177908.0,179107.0,180225.0,181315.0,182383.0,183408.0,184324.0,185223.0,186132.0,187188.0,188301.0,189380.0,190355.0,191417.0,192413.0,193343.0,194237.0,195226.0,196257.0,197341.0,198382.0,199601.0,200740.0,202006.0,203258.0,204579.0,205978.0,207366.0,208777.0,210185.0,211925.0,213634.0,215526.0,217036.0,218712.0,220321.0,221986.0,223683.0,225371.0,227269.0,229225.0,231055.0,232746.0,234484.0,236419.0,238360.0,240201.0,241912.0,244011.0,246080.0,248315.0,250607.0,252830.0,255401.0,257815.0,260432.0,262541.0,264937.0,267425.0,270367,272889,275303,277642,279970,282578,285044,287718,290287,293108,295734,298308,300417,302317,304084,305851,307671,309515,311054,312409,313400,314275,315001,315584,316165,316800,317569,318174,318691,318851,319407,319814,320232,320443,320630,320672,320235,319527,318584,317735,316842,315945,314769,313584,312426,311223,309950,308476,307266,306542,306003,305470,304566,303784,302928,302182,301473,301201,301289,301603,302019,302120,302265,302190,302268,302049,301655,300892,299965,298657,297056,295563,294309,293199,292003,290559,289044,287597,286550,285929,285534,285184,284796,284338,283627,283063,282516,282419,282366,282372,282144,281979,281763,281862,282087,282544,283141,283675,284259,284911,285796,286842,288063,289109,290245,291055,291902,292553,293302,294050,294630,294968,295236,295701,296167,296556,296797,297133,297517,297895,298086,298157,298621,299371,300327,300744,301056,301316,301861,302424,303039,303481,304187,305050,305581,305819,305831,306569,307386,308385,309020,309701,310320,311288,311959,312708,313397,314531,315632,316673,317728,318885,320156,321492,322665,323898,325473,326964,328966,330620,332223,332979,333477,334091,335009,335952,336997,337889,338658,339533,339999,340552,341203,342406,343784,344978,345941,346842,347764,348728,349698
6,44,Ohio,7,168704.0,168999.0,169311.0,169608.0,169975.0,170381.0,170844.0,171317.0,171822.0,172578.0,173324.0,174060.0,174593.0,175215.0,175845.0,176494.0,176973.0,177425.0,177778.0,178261.0,178777.0,179064.0,179352.0,179661.0,180228.0,180767.0,181338.0,181982.0,182791.0,183637.0,184602.0,185388.0,186036.0,186432.0,186892.0,187462.0,188169.0,188789.0,189447.0,190159.0,190970.0,191737.0,192462.0,193217.0,194203.0,195517.0,196835.0,197988.0,198912.0,200009.0,201091.0,202077.0,202951.0,203876.0,204854.0,205825.0,206709.0,207510.0,208254.0,209047.0,209873.0,210593.0,211182.0,211801.0,212407.0,213032.0,213565.0,214144.0,214688.0,215251.0,215790.0,216321.0,216875.0,217486.0,218198.0,218916.0,219583.0,220184.0,220823.0,221556.0,222359.0,223204.0,223992.0,224744.0,225497.0,226179.0,226918.0,227600.0,228545.0,229526.0,230527.0,231324.0,232051.0,232666.0,233374.0,234155.0,234851.0,235594.0,236225.0,236992.0,237494.0,237999.0,238500.0,239107.0,239750.0,240488,241265,241988,242685,243292,243915,244439,245045,245648,246236,246923,247517,248023,248293,248634,249012,249385,249720,249998,250188,250065,249990,249880,249866,249754,249775,249453,249022,248404,247814,247094,246411,246129,245759,245003,244165,243445,242677,242093,241266,240612,239768,239298,238750,237928,236807,235927,234847,233561,232030,230588,229575,228756,228120,227347,226601,226085,225890,225772,225835,226012,226473,226612,226756,226650,226570,226018,225442,224698,223965,223004,221973,221060,220246,219701,218890,218092,217222,216830,216516,216247,215845,215634,215543,215347,215035,214886,214995,214999,214929,214809,214939,215224,215613,215972,216435,217230,218164,218955,219605,220565,221692,222901,223910,224730,225595,226320,226850,226939,226882,226979,227330,227781,228345,228825,229204,229669,230189,230988,231934,233108,234450,235504,236381,237143,237946,238758,239564,240420,241179,241898,242473,243078,243581,244402,245207,245998,246721,247677,248802,249842,250830,251899,253201,254645,255923,257081,258264,259469,260698,261638,262777,263986,265442,266734,267900,268716,269918,271261,273022,274468,275692,276756,277684,278525,279354,280507,281646,282834,283563,284304,284758,285442,286290,287348,288363,289408,290330,291048,291783,292625
7,30,Michigan,8,156521.0,157423.0,158468.0,159385.0,160293.0,161123.0,161993.0,163018.0,164029.0,165733.0,167304.0,168949.0,169759.0,170628.0,171226.0,171894.0,172600.0,173484.0,174427.0,175213.0,175995.0,175661.0,175428.0,175295.0,176310.0,177400.0,178553.0,179920.0,181277.0,182597.0,183774.0,184851.0,186043.0,187286.0,188805.0,190058.0,191267.0,192350.0,193778.0,195253.0,196686.0,197935.0,199104.0,200360.0,201560.0,203375.0,204997.0,206821.0,208167.0,209722.0,211121.0,212561.0,213940.0,215322.0,216660.0,218045.0,219477.0,220630.0,221597.0,222440.0,223214.0,223954.0,224627.0,225380.0,226186.0,227149.0,228178.0,229173.0,230121.0,231114.0,232145.0,233160.0,234192.0,234997.0,235775.0,236220.0,236718.0,237028.0,237358.0,237777.0,238163.0,238669.0,239229.0,239683.0,240262.0,241112.0,242139.0,243232.0,244225.0,245376.0,246554.0,247496.0,248414.0,249192.0,250029.0,250922.0,251691.0,252370.0,252974.0,253766.0,254552.0,255289.0,255996.0,256897.0,257778.0,258750,259488,260351,261135,262030,262768,263400,263934,264510,264983,265416,265824,266202,266651,267008,267292,267220,266874,266535,266087,265642,265041,264441,263633,262652,261740,260717,259708,258253,257093,255625,254798,253516,252345,250651,249233,247631,245771,243696,241532,239967,238358,236805,234511,232240,230053,228106,225991,223915,221919,219998,217922,215734,213475,211721,210340,209641,208969,208624,208175,208101,207920,207895,208219,208722,209384,209255,208817,207875,207045,206138,205601,204890,204567,203995,203512,202952,202518,202524,202935,203552,204082,204484,205032,205578,205916,206603,207339,208396,209262,210435,211678,213038,214581,216118,217234,218411,219980,222058,224243,226214,228475,230763,232959,235070,236874,238766,240769,242865,244793,246011,247014,248008,249082,249939,250654,251366,252179,253101,254008,255059,256087,257426,258539,259521,260389,261313,262376,263051,264021,265135,266596,267726,268691,269371,270312,271407,272656,274024,275430,277233,278845,280229,281386,282606,283812,285418,287376,289417,290935,291768,292667,293856,295363,296881,298384,300296,302438,304251,305734,307192,308990,311555,314058,316209,317523,318673,320091,321189,322221,323167,324163,325076,325938,326496,327021,327546,328547,329656,330543,331398
8,16,Georgia,9,205908.0,206436.0,207006.0,207500.0,208027.0,208575.0,209212.0,209823.0,210514.0,211214.0,211979.0,212713.0,213468.0,214138.0,214746.0,215480.0,216327.0,217264.0,218076.0,218876.0,219641.0,220634.0,221583.0,222555.0,223289.0,224349.0,225492.0,226682.0,227700.0,228599.0,229653.0,230892.0,232166.0,233130.0,234042.0,235135.0,236587.0,237955.0,239395.0,240897.0,242379.0,243897.0,245286.0,246711.0,248010.0,249368.0,250886.0,252501.0,254200.0,255752.0,257267.0,258772.0,260429.0,262146.0,263889.0,265475.0,267159.0,268831.0,270416.0,271744.0,272887.0,274148.0,275374.0,276624.0,277752.0,278869.0,279936.0,281046.0,282128.0,283162.0,284170.0,285096.0,286020.0,286792.0,287544.0,288140.0,288761.0,289353.0,290083.0,290792.0,291384.0,292073.0,292709.0,293541.0,294098.0,294759.0,295460.0,296296.0,297094.0,297864.0,298574.0,299381.0,300307.0,301173.0,302116.0,303060.0,304371.0,305536.0,306561.0,307530.0,308733.0,310069.0,311432.0,312667.0,313914.0,315241,316640,318050,319476,321061,322738,324317,325823,327390,328984,330717,332334,334077,335649,337047,338105,339199,340509,342110,343566,344888,346096,347273,348490,349464,350378,351337,352282,352964,353151,352936,352606,352105,351628,350878,350124,348419,346466,343954,342240,340508,338850,336833,334400,332001,329154,325988,321929,318875,315869,313244,309163,305223,301725,299536,298066,296472,294685,293219,292633,291883,291088,290317,290566,290998,290724,288845,286149,283251,281015,278820,277287,275356,273870,271503,269329,266701,264796,263622,263626,264415,265171,265488,264541,264087,263665,265065,266291,267964,269439,271182,272092,272200,272435,273746,275761,278337,281012,283506,285888,288432,291061,293439,296306,299734,302978,305504,308075,309985,311815,312833,313884,314602,315272,316483,317531,318521,319453,320625,321837,323050,324112,325076,326197,327716,329576,330887,332139,333374,334726,335987,336851,338180,339469,341381,343085,344504,345304,346078,347054,347731,348736,349857,351675,352991,354421,355519,356786,358160,359950,361845,363308,365170,366674,368493,370182,372348,374416,376022,377504,379016,380561,381917,383186,384548,386175,387710,388756,389265,389731,390526,391481,392353,393066,393856,394848,395588,396193,396655,397391,398362
9,36,North Carolina,10,235437.0,236292.0,237283.0,238296.0,239269.0,240077.0,241107.0,242306.0,243617.0,245528.0,247163.0,248886.0,250181.0,251703.0,252913.0,254000.0,255229.0,256750.0,257973.0,258855.0,259443.0,259316.0,259224.0,259168.0,259716.0,260343.0,261303.0,262491.0,263592.0,264576.0,265507.0,266459.0,267618.0,268491.0,269526.0,270421.0,271862.0,273172.0,274315.0,275349.0,276245.0,277139.0,278041.0,279349.0,280763.0,282417.0,284040.0,285529.0,286706.0,287944.0,289202.0,290573.0,291825.0,293147.0,294431.0,295611.0,296778.0,298070.0,299251.0,300401.0,301388.0,302274.0,303228.0,304044.0,305068.0,305993.0,306844.0,307538.0,308097.0,308695.0,309281.0,310083.0,310712.0,311388.0,311787.0,312286.0,312717.0,313360.0,314097.0,314913.0,315671.0,316372.0,316975.0,317511.0,318149.0,318918.0,319775.0,320554.0,321456.0,322146.0,322987.0,323777.0,324865.0,325957.0,327098.0,328210.0,329394.0,330576.0,331912.0,333226.0,334449.0,335835.0,337195.0,338864.0,340488.0,342372,344407,346470,348464,350375,352306,354448,356721,359118,361613,363945,366214,368249,370366,372502,374815,377177,379641,382203,384756,387182,389449,391570,393737,395690,397384,399203,401264,403527,405520,407095,408295,409132,409666,410254,410644,410695,410063,409076,407798,406462,404936,403437,402116,400655,398953,396429,393578,391052,389560,388090,385924,383047,380433,378277,376146,374399,373008,372385,371719,371201,369929,368722,367976,367757,367132,365721,364159,362426,360901,359282,358064,356699,355483,353890,351998,350191,349124,348485,347636,346977,345993,345170,344317,343545,343159,343057,343820,344196,344257,344195,344800,345373,346115,346732,347368,348157,348896,350260,351673,353610,355494,357506,359391,361345,363362,365162,366952,368573,370209,371256,371570,371759,371941,372255,372247,372200,372278,372896,373845,375032,376184,377604,378954,380033,381075,382364,384090,385636,387001,387895,388523,389118,389908,390371,391437,392929,395009,396720,397958,399280,400470,402000,403486,405061,406475,408475,410182,411539,412120,412519,413290,414450,416198,417683,419182,420696,422376,423779,424902,426287,427833,429742,431383,432682,433187,433847,434740,436131,437373,438438,439553,440526,441593,442483,443417,444348,445569,446684,447567,447978
