,RegionID,RegionName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01
0,9,California,1,159228.0,159034.0,158882.0,158789.0,158774.0,158800.0,158949.0,159126.0,159380.0,159396.0,159476.0,159640.0,160101.0,160654.0,161236.0,161949.0,162709.0,163561.0,164328.0,165217.0,166228.0,167637.0,169196.0,170688.0,171955.0,173100.0,174288.0,175362.0,176535.0,177818.0,179179.0,180439.0,181510.0,182774.0,184110.0,185509.0,186760.0,188057.0,189592.0,191229.0,192681.0,193984.0,195510.0,197359.0,199400.0,201382.0,203278.0,205230.0,207338.0,209641.0,212041.0,214510.0,217141.0,219854.0,222483.0,225101.0,227749.0,230287.0,232915.0,235655.0,238551.0,241146.0,243422.0,245432.0,247413.0,249439.0,251562.0,253648.0,255738.0,257863.0,260173.0,262555.0,265134.0,267897.0,271136.0,274809.0,278693.0,282504.0,286348.0,290431.0,294643.0,298679.0,302374.0,306081.0,309796.0,313635.0,316931.0,320584.0,324620.0,329343.0,334047.0,339109.0,344166.0,350003.0,356216.0,362809.0,369568.0,377148.0,385754.0,394187.0,402016.0,409445.0,416871.0,423848.0,430955.0,437513,444624,451565,458907,465343,471286,477376,483708,490273,496478,501526,506003,509739,512867,515832,518013,520467,521742,522148,521749,520244,518527,517032,515608,514159,512230,510059,507841,504476,500841,496410,491759,486236,479790,473304,466059,458808,449727,439439,428270,417277,407170,397051,387566,378925,371182,362559,354051,346179,341315,337039,333087,329522,326963,325697,324827,324258,324268,325748,327712,329166,328973,329738,330898,332595,332133,330861,329222,327928,326222,323888,321880,320180,318736,316551,314329,311273,309477,308053,306659,304995,303176,302454,301291,300564,300012,300186,300863,302378,304272,306560,309438,312773,316890,320686,325698,330653,336524,343022,350288,357729,365234,372595,379769,386106,391615,396663,401051,405503,409161,411307,412351,412956,413781,415079,415761,417005,418339,420771,422569,424461,426609,429840,432536,435360,437538,439677,442224,445145,448312,450795,454249,457298,459941,461586,464209,466729,469406,471700,474635,477339,480296,482792,484939,487302,489848,492934,495733,498963,502425,505338,508025,510995,514390,518467,522645,527025,531352,535175,538029,540172,542138,544341,545998,546975,547687,548339,548137,547496,546297,545777,546070,546697,547361,548276,549641,551515,553441,555360,558124,561325
1,54,Texas,2,97402.0,97539.0,97655.0,97742.0,97863.0,98016.0,98196.0,98410.0,98649.0,98673.0,98674.0,98664.0,98796.0,98889.0,99017.0,99149.0,99316.0,99493.0,99735.0,99962.0,100198.0,100669.0,101118.0,101563.0,101687.0,101895.0,102108.0,102415.0,102652.0,102875.0,102947.0,102984.0,102989.0,103208.0,103691.0,104354.0,105091.0,105772.0,106446.0,107090.0,107638.0,108090.0,108620.0,109201.0,109786.0,110166.0,110445.0,110615.0,110803.0,110844.0,110884.0,110885.0,111073.0,111320.0,111566.0,111858.0,112180.0,112406.0,112399.0,112238.0,112143.0,112229.0,112333.0,112457.0,112503.0,112609.0,112735.0,112825.0,112914.0,113017.0,113253.0,113590.0,114008.0,114430.0,114919.0,115399.0,115889.0,116305.0,116686.0,117082.0,117464.0,117740.0,117828.0,117819.0,117858.0,117985.0,118220.0,118442.0,118723.0,118961.0,119272.0,119549.0,119868.0,120444.0,121472.0,122818.0,123951.0,124796.0,125287.0,125879.0,126422.0,127084.0,127693.0,128273.0,128848.0,129468,129872,130123,130299,130557,130948,131276,131614,131898,132080,132382,132616,132979,133384,133835,134270,134783,135313,135854,136320,136823,137482,138046,138617,139014,139303,139507,139826,140188,140601,140895,141357,141803,142192,142460,142690,142493,142094,141542,141196,140809,140438,140152,139755,139259,138717,138136,137582,137283,137271,137337,137221,137064,136926,136893,136809,136755,136683,136894,137061,137151,137127,137140,137232,137257,137139,136674,136147,135617,135192,134682,134258,133851,133331,132763,132195,131735,131313,131130,131105,131200,131222,131097,130929,130902,131137,131481,131776,132092,132440,132867,133249,133540,133820,134269,134855,135542,136181,136931,137771,138631,139500,140388,141320,142349,143432,144507,145457,146318,147205,147994,148756,149551,150467,151339,152283,153225,154198,155165,156168,157185,158193,159273,160374,161401,162410,163403,164363,165245,166184,167039,167937,168875,169786,170668,171521,172547,173515,174567,175485,176463,177349,178455,179625,180678,181726,182657,183658,184506,185366,186126,186890,187711,188680,189659,190543,191306,192117,193128,194266,195357,196373,197281,198220,198983,199874,200637,201556,202436,203319,204000,204537,205111,205704,206364,206973,207621,208052,208467,208731,209048
2,43,New York,3,138497.0,138393.0,138328.0,138248.0,138166.0,138129.0,138147.0,138205.0,138309.0,138285.0,138564.0,138868.0,139238.0,139370.0,139537.0,139842.0,140144.0,140438.0,140658.0,141088.0,141549.0,142412.0,142910.0,143382.0,143483.0,143744.0,144008.0,144143.0,144557.0,145061.0,145842.0,146311.0,146802.0,147060.0,147588.0,148153.0,149023.0,149966.0,150977.0,152296.0,153368.0,154428.0,155191.0,156030.0,156790.0,157538.0,158595.0,159816.0,161181.0,162392.0,163575.0,164509.0,165358.0,166182.0,167149.0,168346.0,169600.0,170875.0,171926.0,172978.0,174011.0,175134.0,176262.0,177434.0,178661.0,179873.0,181191.0,182549.0,183977.0,185443.0,186848.0,188077.0,189335.0,190630.0,192064.0,193533.0,195093.0,196646.0,198159.0,199709.0,201390.0,203065.0,204841.0,206956.0,208950.0,210857.0,212548.0,214272.0,216190.0,218189.0,220243.0,222006.0,223655.0,225438.0,227227.0,228860.0,230560.0,232455.0,234621.0,236856.0,238950.0,241125.0,243207.0,245578.0,247802.0,250063,252335,254559,256947,259286,261543,263851,266213,268730,271227,273495,275821,277840,279727,281302,282710,283951,285258,286325,287200,287634,287905,288031,288202,288312,288464,288743,288861,289123,289108,289223,289270,289280,289533,289794,289776,289690,289267,288826,288129,287135,286063,284770,283574,282287,280688,278975,277381,275838,274416,273003,271720,270548,269327,268242,267254,266644,266374,266300,266261,266091,266045,265894,266073,266153,266536,266670,266449,265839,264922,264063,263129,262517,261925,261487,260622,259714,258521,257609,256946,256500,256172,255676,255279,254810,254229,253706,253342,253290,253368,253479,253659,253854,253990,254265,254626,255021,255616,256123,256878,257567,258386,259195,259899,260604,261440,262292,263045,263793,264516,265366,265982,266494,266869,267143,267490,267858,268313,268758,269353,269927,270387,270689,271098,271609,272279,273048,273798,274546,275123,275690,276089,276521,277262,278211,279201,280045,280716,281418,282231,283093,284089,285147,286456,287696,288646,289469,290494,291913,293622,295226,296690,298057,299485,300918,302165,303503,304955,306449,307866,309124,310440,311896,313462,315109,316554,317799,318811,319703,320625,321642,322539,323351,323969,324495,324947,325330,325762,326269,326929,327569
3,14,Florida,4,100264.0,100464.0,100692.0,100911.0,101108.0,101237.0,101371.0,101522.0,101711.0,101721.0,101785.0,101866.0,102169.0,102449.0,102696.0,102935.0,103188.0,103480.0,103742.0,104046.0,104351.0,105039.0,105615.0,106122.0,106217.0,106383.0,106493.0,106656.0,106903.0,107344.0,107872.0,108257.0,108556.0,108634.0,108835.0,109075.0,109517.0,109961.0,110585.0,111236.0,111822.0,112214.0,112557.0,113030.0,113548.0,114110.0,114674.0,115321.0,116021.0,116688.0,117304.0,117890.0,118487.0,119154.0,119861.0,120631.0,121431.0,122262.0,123128.0,124013.0,124916.0,125854.0,126806.0,127845.0,128918.0,130061.0,131218.0,132352.0,133454.0,134529.0,135562.0,136574.0,137605.0,138678.0,139793.0,140911.0,142093.0,143248.0,144465.0,145707.0,147135.0,148615.0,150179.0,151718.0,153268.0,154756.0,156150.0,157491.0,158827.0,160331.0,162002.0,163814.0,165562.0,167368.0,169198.0,171103.0,172971.0,175058.0,177395.0,179992.0,182827.0,185762.0,188756.0,191750.0,194975.0,198390,202037,205868,209984,214407,219199,224406,229705,234972,239926,244666,249170,253405,257187,260990,264759,268103,270618,272118,273000,273146,272950,272569,271710,270720,269467,267908,265787,263297,260379,257206,253939,250771,247581,244106,240546,236525,232419,227925,223647,219137,214991,210753,206480,202212,197853,193404,189141,185164,181568,178116,174630,171507,168619,166355,164313,162471,160967,160038,159192,158508,157755,157249,156773,156236,155436,154351,153070,151717,150240,148645,147152,145625,144209,142717,141382,140113,139116,138205,137586,137114,136872,136727,136616,136615,136664,136970,137444,138022,138698,139483,140377,141324,142353,143430,144674,146132,147778,149472,151199,153082,154961,156984,159062,161179,163060,164888,166558,168111,169424,170692,171766,172770,173624,174491,175124,175849,176832,177906,178991,179997,181133,182262,183390,184562,185812,186989,188330,189726,191117,192371,193737,195210,196764,198096,199430,200668,202068,203528,204913,206142,207276,208585,209846,211157,212346,213605,215014,216417,217806,219050,220449,221806,223151,224344,225560,226479,227563,228845,230319,231791,233018,234181,235281,236419,237485,238535,239615,240590,241231,241601,242006,242405,242951,243608,244237,244872,245566,246290,246964,247841
4,21,Illinois,5,137859.0,137349.0,137048.0,136625.0,137087.0,137790.0,139243.0,140430.0,141333.0,141640.0,141638.0,141772.0,141653.0,141798.0,141604.0,141354.0,139348.0,136849.0,133145.0,130222.0,128067.0,127231.0,127075.0,126985.0,126955.0,126907.0,126856.0,127156.0,128332.0,130015.0,132228.0,134118.0,135567.0,136237.0,136615.0,137003.0,137513.0,137945.0,138691.0,139491.0,140275.0,140802.0,141445.0,142226.0,143063.0,144067.0,145071.0,146082.0,146985.0,147866.0,148711.0,149503.0,150411.0,151390.0,152396.0,153428.0,154507.0,155544.0,156451.0,157376.0,158359.0,159475.0,160538.0,161517.0,162446.0,163448.0,164522.0,165608.0,166564.0,167457.0,168387.0,169482.0,170425.0,171418.0,172354.0,173517.0,174631.0,175694.0,176710.0,177617.0,178693.0,179739.0,180923.0,181947.0,183086.0,184034.0,184940.0,185791.0,186861.0,188100.0,189312.0,190468.0,191485.0,192688.0,193833.0,195018.0,196271.0,197624.0,199169.0,200589.0,201933.0,203044.0,204244.0,205604.0,207101.0,208415,209739,211042,212469,213887,215358,216848,218292,219921,221504,222956,224277,225495,226762,227816,228851,229703,230451,230993,231592,231998,232345,232540,232865,233331,233915,233769,233648,232841,232637,231842,231519,230715,230232,229574,228779,227956,225753,225050,222651,221996,219309,218127,215471,213936,211369,209282,206290,203252,200971,198448,196708,194306,192545,191124,189979,188428,187191,186063,185904,185339,185076,183722,183596,182466,182489,180338,179211,177428,176460,174568,172950,171337,170093,168945,167098,165820,163989,163544,162449,161889,160135,159241,157799,157032,155498,155133,154653,154645,154211,153597,153036,152524,152855,153388,153957,154621,155506,156120,157021,157625,158824,159939,161522,162915,164471,165275,166309,166914,167818,168211,168379,168798,169516,170264,170688,171216,171515,172083,172474,172842,172957,173457,174245,175010,175237,175508,175748,176081,176321,176611,177067,177654,178680,179554,180288,180790,181433,182202,182934,183559,184252,185098,186012,186993,187760,188673,189513,190287,190876,191387,192069,192834,193687,194482,195342,196189,196820,197186,197517,197985,198600,199094,199546,200077,200565,201025,201261,201325,201520,201802,202188,202509,202749,203053,203271,203373,203419,203453,203574,203780
5,47,Pennsylvania,6,95422.0,95324.0,95277.0,95243.0,95282.0,95309.0,95390.0,95491.0,95623.0,95721.0,95825.0,95985.0,96199.0,96463.0,96708.0,96976.0,97109.0,97269.0,97369.0,97560.0,97776.0,98078.0,98361.0,98582.0,98716.0,98829.0,98917.0,99009.0,99246.0,99529.0,99865.0,100040.0,100136.0,100200.0,100336.0,100522.0,100762.0,100985.0,101251.0,101525.0,101776.0,102039.0,102283.0,102606.0,102992.0,103427.0,103936.0,104430.0,104913.0,105389.0,105836.0,106276.0,106650.0,107043.0,107462.0,107956.0,108481.0,108999.0,109463.0,109955.0,110461.0,110914.0,111351.0,111793.0,112283.0,112769.0,113248.0,113801.0,114338.0,114914.0,115483.0,116107.0,116750.0,117384.0,118004.0,118650.0,119423.0,120213.0,121051.0,121781.0,122573.0,123379.0,124209.0,125023.0,125836.0,126735.0,127694.0,128622.0,129490.0,130379.0,131335.0,132242.0,133113.0,133935.0,135042.0,136138.0,137272.0,138402.0,139570.0,140884.0,142111.0,143426.0,144621.0,145985.0,147362.0,148853,150016,151211,152445,153791,155191,156601,158178,159694,161167,162530,163855,165030,166102,167083,168070,169059,170067,170887,171559,172072,172552,172922,173261,173670,174135,174642,174975,175272,175417,175717,175968,176167,176291,176438,176560,176505,176346,175995,175666,175203,174724,174029,173321,172684,172127,171494,170749,169967,169379,168904,168479,168030,167652,167410,167185,167046,167006,167164,167384,167691,167887,168076,168205,168259,168200,167924,167492,166811,166001,165083,164233,163433,162686,161953,161127,160321,159509,158887,158469,158253,158061,157818,157522,157189,156862,156575,156409,156342,156263,156148,156062,156000,156022,156076,156215,156405,156607,156819,157112,157435,157843,158265,158626,158962,159208,159510,159726,159965,160193,160388,160443,160463,160607,160843,161032,161140,161254,161402,161621,161794,161932,162220,162647,163182,163447,163611,163794,164125,164507,164848,165094,165494,166039,166396,166611,166688,167127,167605,168170,168601,169059,169583,170282,170766,171208,171634,172365,173133,173870,174576,175297,176088,176919,177660,178385,179211,180088,181280,182325,183303,183903,184482,185053,185704,186294,186982,187631,188351,189053,189506,189937,190431,191172,191936,192675,193333,194003,194623,195248,195810
6,44,Ohio,7,92080.0,92395.0,92684.0,92941.0,93227.0,93524.0,93824.0,94121.0,94429.0,94726.0,95023.0,95304.0,95592.0,95888.0,96216.0,96567.0,96870.0,97159.0,97425.0,97710.0,98009.0,98369.0,98768.0,99152.0,99473.0,99785.0,100118.0,100500.0,100889.0,101286.0,101725.0,102141.0,102487.0,102736.0,103005.0,103335.0,103676.0,103954.0,104210.0,104480.0,104802.0,105140.0,105487.0,105850.0,106301.0,106830.0,107355.0,107790.0,108243.0,108775.0,109352.0,109840.0,110279.0,110711.0,111131.0,111562.0,111976.0,112383.0,112748.0,113145.0,113530.0,113887.0,114188.0,114521.0,114876.0,115228.0,115564.0,115870.0,116156.0,116421.0,116690.0,116987.0,117278.0,117579.0,117871.0,118178.0,118457.0,118741.0,119043.0,119402.0,119773.0,120141.0,120499.0,120829.0,121183.0,121530.0,121924.0,122321.0,122784.0,123242.0,123688.0,124045.0,124396.0,124711.0,125070.0,125441.0,125800.0,126163.0,126495.0,126848.0,127129.0,127422.0,127702.0,128029.0,128354.0,128740,129121,129500,129837,130125,130421,130684,130987,131261,131554,131869,132168,132398,132538,132660,132781,132900,132977,133049,133072,133017,132949,132861,132766,132678,132635,132471,132243,131947,131690,131367,131054,130830,130584,130196,129803,129433,129050,128708,128287,127892,127433,127066,126655,126164,125534,125019,124399,123696,122852,122096,121528,121065,120626,120165,119733,119392,119213,119034,118941,118847,118928,118864,118796,118619,118412,117982,117482,116913,116343,115717,115050,114497,113925,113438,112797,112186,111614,111261,110980,110709,110390,110117,109898,109620,109319,109120,109023,108894,108702,108550,108507,108556,108610,108645,108709,108904,109186,109426,109693,110033,110478,110879,111268,111559,111952,112294,112583,112606,112564,112520,112588,112718,112921,113164,113311,113516,113660,113961,114339,114890,115480,116011,116456,116915,117348,117780,118192,118588,118973,119334,119660,120065,120459,120969,121436,121864,122277,122734,123269,123831,124408,125037,125729,126461,127155,127800,128472,129123,129792,130374,131126,131919,132817,133589,134308,134784,135379,136055,137014,137905,138716,139477,140131,140718,141291,142034,142798,143613,144273,144936,145417,145979,146608,147323,148026,148762,149453,150067,150683,151382
7,30,Michigan,8,91412.0,92065.0,92733.0,93337.0,93897.0,94413.0,94924.0,95487.0,96101.0,96746.0,97339.0,97957.0,98503.0,99081.0,99579.0,100166.0,100826.0,101555.0,102283.0,102933.0,103496.0,104071.0,104677.0,105275.0,105836.0,106383.0,107001.0,107632.0,108240.0,108859.0,109494.0,110126.0,110778.0,111295.0,111950.0,112573.0,113352.0,114076.0,114901.0,115690.0,116491.0,117243.0,117983.0,118727.0,119479.0,120358.0,121137.0,121970.0,122727.0,123574.0,124362.0,125232.0,126036.0,126790.0,127494.0,128281.0,129095.0,129821.0,130452.0,131051.0,131660.0,132280.0,132825.0,133352.0,133895.0,134512.0,135091.0,135603.0,136064.0,136584.0,137118.0,137676.0,138137.0,138489.0,138837.0,139131.0,139475.0,139757.0,140091.0,140438.0,140804.0,141140.0,141537.0,141807.0,142194.0,142641.0,143189.0,143698.0,144163.0,144665.0,145194.0,145677.0,146140.0,146570.0,146973.0,147451.0,147848.0,148251.0,148629.0,149080.0,149495.0,149862.0,150226.0,150592.0,150956.0,151337,151645,151990,152327,152724,152999,153209,153426,153698,153916,154092,154230,154363,154489,154517,154442,154237,153931,153663,153275,152890,152343,151773,151057,150315,149633,148971,148357,147502,146716,145706,144975,143869,142729,141403,140392,139425,138255,136810,135038,133338,131616,129909,127919,126148,124696,123317,121554,119353,117274,115280,113583,111923,110347,109127,108024,107149,106070,105250,104551,104298,103930,103714,103579,103601,103631,103227,102676,101866,101151,100353,99726,99017,98482,97802,97110,96378,95690,95209,95013,95044,95103,95111,95121,95169,95193,95472,95798,96279,96784,97444,98066,98657,99388,100205,100976,101769,102780,103945,105171,106349,107546,108838,110215,111673,112973,114198,115452,116729,117829,118662,119380,120135,120972,121685,122245,122674,123158,123712,124218,124741,125303,126031,126677,127201,127663,128178,128796,129303,129812,130406,131204,131947,132639,133127,133889,134702,135622,136538,137410,138483,139556,140532,141381,142217,143110,144151,145212,146379,147372,148195,149048,149933,150896,151902,152883,154086,155312,156546,157623,158558,159569,160575,161660,162590,163473,164230,165152,165835,166525,167099,167728,168394,169060,169805,170461,171158,171831,172583,173222,173923
8,16,Georgia,9,102496.0,102845.0,103215.0,103560.0,103907.0,104247.0,104617.0,105003.0,105420.0,105758.0,106146.0,106560.0,107058.0,107525.0,107947.0,108406.0,108910.0,109463.0,109994.0,110509.0,111031.0,111763.0,112430.0,113026.0,113398.0,113883.0,114433.0,115024.0,115600.0,116156.0,116734.0,117340.0,117911.0,118376.0,118875.0,119468.0,120194.0,120887.0,121596.0,122335.0,123021.0,123716.0,124390.0,125081.0,125742.0,126370.0,127107.0,127900.0,128781.0,129603.0,130418.0,131202.0,132039.0,132878.0,133745.0,134619.0,135577.0,136555.0,137373.0,138090.0,138711.0,139412.0,140072.0,140735.0,141389.0,142021.0,142623.0,143184.0,143715.0,144207.0,144738.0,145229.0,145736.0,146202.0,146681.0,147120.0,147492.0,147869.0,148259.0,148647.0,148966.0,149310.0,149653.0,150056.0,150370.0,150645.0,150898.0,151181.0,151509.0,151826.0,152123.0,152435.0,152823.0,153215.0,153630.0,154028.0,154481.0,154912.0,155303.0,155702.0,156157.0,156648.0,157175.0,157664.0,158115.0,158513,158898,159313,159816,160420,161073,161665,162205,162775,163342,163976,164530,165162,165750,166304,166733,167118,167564,168082,168591,169040,169445,169830,170279,170717,171135,171535,171860,172070,172116,172049,171921,171646,171326,170939,170614,170006,169224,168218,167381,166562,165669,164599,163398,162246,160967,159407,157481,155693,154023,152472,150622,148811,147159,145931,144887,143947,142947,142184,141640,141074,140451,139856,139614,139433,139063,138124,136878,135354,134041,132651,131521,130301,129299,128003,126571,124927,123477,122380,121738,121465,121214,120915,120262,119776,119278,119350,119535,119935,120355,120862,121187,121349,121562,122154,122981,124025,125111,126173,127169,128256,129442,130644,131985,133402,134842,136057,137325,138400,139466,140324,141188,141936,142628,143380,144082,144835,145524,146239,146888,147522,148124,148712,149391,150220,151115,151881,152628,153345,154028,154702,155357,156189,157004,157963,158901,159769,160470,161090,161722,162251,162965,163752,164712,165506,166382,167241,168147,169049,170102,171280,172421,173767,175044,176453,177795,179210,180572,181725,182914,184143,185490,186787,188012,189157,190317,191508,192589,193517,194330,195285,196265,197203,197981,198733,199538,200298,201015,201590,202214,202914
9,36,North Carolina,10,109711.0,110099.0,110538.0,111004.0,111460.0,111861.0,112333.0,112859.0,113422.0,113971.0,114512.0,115101.0,115658.0,116177.0,116605.0,116987.0,117459.0,118024.0,118469.0,118840.0,119173.0,119606.0,119976.0,120310.0,120645.0,121123.0,121657.0,122213.0,122652.0,123065.0,123537.0,123986.0,124413.0,124713.0,125104.0,125480.0,125946.0,126301.0,126649.0,127015.0,127378.0,127767.0,128111.0,128530.0,128973.0,129420.0,129955.0,130495.0,131082.0,131618.0,132147.0,132629.0,133080.0,133519.0,133977.0,134514.0,135062.0,135648.0,136052.0,136421.0,136713.0,137043.0,137358.0,137625.0,137956.0,138273.0,138619.0,138841.0,139030.0,139187.0,139382.0,139602.0,139783.0,140011.0,140221.0,140492.0,140701.0,140910.0,141098.0,141304.0,141514.0,141743.0,141980.0,142236.0,142468.0,142705.0,142900.0,143123.0,143384.0,143655.0,143908.0,144164.0,144475.0,144857.0,145239.0,145606.0,145961.0,146280.0,146641.0,146972.0,147316.0,147712.0,148150.0,148660.0,149167.0,149590,150089,150547,151143,151721,152421,153160,153936,154697,155515,156318,157124,157909,158688,159496,160296,161150,161961,162819,163662,164500,165258,165943,166611,167323,167944,168580,169182,169831,170467,171003,171488,171846,172112,172370,172588,172755,172774,172707,172555,172323,171952,171501,171075,170615,170111,169420,168662,167849,167269,166683,165974,165092,164253,163584,162858,162246,161740,161440,161107,160801,160340,159942,159705,159573,159344,158834,158259,157598,156985,156318,155709,155022,154342,153545,152613,151774,151112,150628,150123,149717,149193,148701,148217,147865,147602,147420,147438,147361,147228,147101,147157,147212,147319,147442,147558,147714,147870,148197,148538,149005,149502,150018,150531,150994,151522,151977,152544,153013,153501,153801,154047,154256,154440,154597,154675,154864,155083,155470,155849,156330,156810,157424,157948,158407,158837,159390,160032,160584,161075,161477,161844,162258,162761,163230,163828,164554,165456,166324,167140,167998,168840,169734,170653,171524,172320,173199,174150,175085,175892,176594,177385,178248,179306,180309,181365,182420,183559,184620,185554,186540,187565,188723,189801,190815,191633,192529,193423,194417,195300,196189,197118,197984,198840,199640,200454,201263,202116,202911,203656,204311
