,RegionID,RegionName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01
0,9,California,1,143964.0,143573.0,143252.0,142966.0,142733.0,142520.0,142450.0,142440.0,142548.0,142452.0,142356.0,142410.0,142761.0,143291.0,143822.0,144514.0,145292.0,146211.0,147025.0,147916.0,148890.0,150257.0,151783.0,153237.0,154483.0,155643.0,156871.0,158021.0,159289.0,160662.0,162101.0,163461.0,164613.0,165945.0,167318.0,168748.0,169969.0,171182.0,172601.0,174129.0,175471.0,176656.0,178117.0,179880.0,181864.0,183721.0,185537.0,187423.0,189569.0,191938.0,194469.0,197019.0,199708.0,202436.0,205085.0,207716.0,210376.0,212883.0,215460.0,218149.0,220995.0,223507.0,225625.0,227476.0,229354.0,231296.0,233306.0,235230.0,237112.0,239092.0,241253.0,243474.0,245880.0,248496.0,251601.0,255103.0,258756.0,262304.0,265863.0,269609.0,273483.0,277094.0,280406.0,283691.0,286938.0,290218.0,292934.0,296161.0,299784.0,304121.0,308299.0,312945.0,317554.0,323006.0,328791.0,334844.0,341105.0,348085.0,356183.0,363725.0,370496.0,376761.0,383125.0,388995.0,394925.0,400288.0,406084.0,411950,417927,423141,427498,432371,437509,442979,447977,451858,455343,458265,460704,462744,464177,465889,466695,466489,465716,464009,462500,461049,459909,458688,457196,455298,453367,450547,447697,444112,440314,435626,430253,425499,420099,414654,407168,399272,391102,383097,376077,369071,362662,356798,351415,344687,337364,330682,327094,323832,320257,316958,314285,312930,311734,311085,310829,311931,313734,314774,314016,313971,314496,315505,314116,311891,309525,307539,305219,302170,299648,297597,295946,293519,291060,287628,285748,284060,282318,280090,277878,276944,275478,274333,273286,273052,273157,274223,275617,277533,279958,282919,286637,290011,294517,299125,304688,310956,318132,325427,332788,339757,346804,352842,358058,362657,366782,371042,374460,376231,377005,377325,377915,379030,379294,380332,381510,384087,385929,387640,389657,392943,395494,398225,400210,402524,405187,408159,411122,413300,416555,419414,421867,422985,425221,427288,429578,431256,433757,436025,438663,440748,442486,444579,446791,449675,452165,455243,458473,461334,463844,466884,470290,474624,478895,483316,487483,491442,494415,496688,498824,501147,503015,503704,504244,504464,503872,502613,500936,499775,499494,499450,499436,499653,500263,501621,502936,504321,506569,509399
1,54,Texas,2,91290.0,91452.0,91623.0,91622.0,91868.0,92035.0,92362.0,92560.0,92890.0,93043.0,93169.0,93333.0,93362.0,93468.0,93484.0,93663.0,93524.0,93617.0,93579.0,93730.0,93782.0,94008.0,94294.0,94654.0,94859.0,95126.0,95484.0,96006.0,96534.0,96880.0,97065.0,97248.0,97350.0,97616.0,97966.0,98265.0,98602.0,98883.0,99258.0,99491.0,99662.0,99808.0,100078.0,100330.0,100502.0,100585.0,100711.0,100953.0,101103.0,101202.0,101216.0,101442.0,101617.0,101810.0,101823.0,102045.0,102395.0,102782.0,102784.0,102698.0,102684.0,102808.0,102766.0,102632.0,102530.0,102588.0,102834.0,102862.0,102966.0,102800.0,102990.0,102901.0,103200.0,103439.0,104009.0,104505.0,104910.0,105237.0,105416.0,105802.0,105997.0,106199.0,106211.0,106371.0,106319.0,106177.0,106231.0,106302.0,106652.0,106821.0,107131.0,107426.0,107809.0,108440.0,109250.0,110446.0,111395.0,112222.0,112557.0,112945.0,113323.0,113694.0,114208.0,114376.0,114706.0,115090.0,115437.0,115605,115649,115886,116170,116534,116844,117178,117216,117488,117785,118190,118685,119006,119317,119664,120083,120459,120644,121135,121796,122431,122764,123011,122970,123061,123433,123856,124122,124209,124483,124831,125021,125387,125571,125477,124979,124536,124044,123563,123172,123036,122839,122287,121652,120571,119876,119332,119482,119467,119475,119347,119300,119177,118875,118641,118458,118753,118836,118733,118372,118078,117810,117544,117115,116409,115717,115069,114612,114024,113529,113133,112635,112072,111526,111105,110799,110622,110629,110727,110730,110547,110320,110196,110367,110675,110876,110962,111089,111495,111895,112179,112405,112814,113431,114163,114851,115537,116418,117369,118301,119123,119926,120830,121779,122731,123540,124238,124978,125721,126427,127149,128008,128736,129708,130680,131704,132616,133498,134528,135493,136546,137532,138505,139418,140415,141299,142082,142951,143752,144706,145536,146385,147117,147858,148723,149553,150506,151179,151982,152680,153743,154691,155442,156111,156871,157860,158794,159647,160303,160722,161198,161859,162751,163652,164386,165136,165902,166627,167335,167959,168612,169417,169885,170595,170978,171722,172371,173117,173669,174133,174567,175061,175539,176025,176658,176968,177272,177248,177366
2,43,New York,3,167754.0,167780.0,167799.0,167729.0,167537.0,167562.0,167629.0,167905.0,168199.0,168653.0,169485.0,170414.0,171209.0,171664.0,172266.0,173028.0,174006.0,174887.0,175928.0,176991.0,178176.0,179409.0,180291.0,181108.0,181714.0,182450.0,183245.0,184186.0,185475.0,186769.0,188137.0,189297.0,190547.0,191631.0,192953.0,194250.0,195831.0,197543.0,199445.0,201734.0,203840.0,205904.0,207643.0,209336.0,210942.0,212559.0,215002.0,217814.0,220932.0,223706.0,226490.0,229107.0,231369.0,233778.0,236426.0,239535.0,242652.0,245607.0,249307.0,253164.0,257057.0,259840.0,262012.0,263785.0,265635.0,267648.0,269941.0,272602.0,275269.0,278465.0,278043.0,276741.0,275118.0,276418.0,278088.0,279408.0,281812.0,284627.0,287631.0,289788.0,292126.0,294320.0,298541.0,303800.0,309031.0,313350.0,318637.0,324870.0,329846.0,332743.0,334731.0,337300.0,340100.0,343187.0,346688.0,349685.0,353158.0,356331.0,359313.0,362569.0,366415.0,372852.0,379080.0,385136.0,389651.0,394287.0,398902.0,405516,412012,418225,423309,428757,435619,442317,450558,456894,463411,469417,475407,477895,479122,480976,485593,488391,487685,482597,476684,474108,476020,477089,477309,477968,479895,481316,479278,478372,478296,482180,485973,488948,489054,489636,489863,489278,488607,486504,485213,482707,481932,480417,478383,475236,470619,465265,459627,456280,451568,449007,445328,442166,437417,432966,430035,428293,427199,427223,427905,426939,426869,426198,428012,430092,431570,432569,432361,431283,429878,428762,428468,430382,430965,430973,429157,428095,428086,428121,428012,427886,428329,427958,426981,424560,423877,423596,424461,424670,425262,425846,427183,428913,431114,433423,435524,437414,439330,441744,444255,446828,449363,452223,455007,457759,460203,463208,466765,471163,474857,477888,480019,482220,484629,487115,489484,491287,493314,496153,499480,502443,504966,507381,510366,513001,515674,518194,520994,524193,526828,527509,527656,527919,530211,532392,534549,536128,537576,538672,539308,540366,542354,545455,547246,548783,549428,551515,554103,558089,561517,564923,568745,571748,574053,575796,579501,582589,585665,587457,589707,591130,593560,596818,599657,602123,602973,603270,602726,603218,603726,604297,604083,603817,602950,601390,599865,598733,598767,599078
3,14,Florida,4,83592.0,83733.0,83920.0,84102.0,84262.0,84336.0,84420.0,84524.0,84656.0,84598.0,84597.0,84622.0,84875.0,85093.0,85278.0,85458.0,85652.0,85873.0,86045.0,86230.0,86422.0,87001.0,87495.0,87914.0,87934.0,88018.0,87982.0,87987.0,88060.0,88418.0,88864.0,89212.0,89479.0,89520.0,89634.0,89754.0,90052.0,90352.0,90869.0,91393.0,91871.0,92071.0,92257.0,92547.0,92879.0,93281.0,93700.0,94229.0,94803.0,95344.0,95848.0,96309.0,96770.0,97295.0,97845.0,98469.0,99136.0,99828.0,100559.0,101324.0,102128.0,102992.0,103873.0,104875.0,105937.0,107117.0,108329.0,109501.0,110614.0,111682.0,112739.0,113757.0,114798.0,115862.0,116988.0,118146.0,119382.0,120569.0,121789.0,123030.0,124510.0,126024.0,127589.0,129110.0,130680.0,132185.0,133579.0,134892.0,136173.0,137593.0,139125.0,140809.0,142366.0,144041.0,145711.0,147499.0,149181.0,151073.0,153174.0,155496.0,158030.0,160658.0,163419.0,166196.0,169244.0,172353.0,175716.0,179190,182912,186909,191123,195622,200128,204614,208772,212531,216002,219476,222594,225946,229350,232378,234689,236081,236931,237221,237017,236980,236345,235611,234449,232800,230504,227770,224871,221958,219119,216286,213628,210395,207237,203264,199365,195083,190958,186828,182877,178969,174867,170644,166327,162164,158272,154669,151240,147954,144761,141784,139117,136691,134495,132511,130887,129601,128240,127155,126161,125431,124731,123987,123016,121982,120837,119743,118429,117115,116022,114905,113908,112817,111911,111055,110374,109767,109397,109115,109074,109145,109200,109349,109462,109794,110197,110780,111535,112315,113174,114092,115141,116125,117213,118460,119897,121410,123017,124644,126181,127839,129553,131277,132749,134365,135901,137321,138483,139562,140428,141295,142057,142924,143593,144336,145270,146030,146849,147594,148571,149522,150466,151401,152348,153189,154144,155167,156128,157156,158135,159275,160353,161288,162203,162999,164018,165005,165877,166539,167196,167994,168789,169529,170085,170641,171339,172099,172792,173419,174291,175154,176003,176469,177051,177495,178311,179170,180022,180869,181534,182168,182665,183235,183771,184570,185308,185912,186023,186089,186296,186471,186755,187095,187427,187731,188049,188302,188528,188920
4,21,Illinois,5,127274.0,126916.0,126762.0,126434.0,126945.0,127581.0,128852.0,129782.0,130535.0,130825.0,130903.0,131096.0,131068.0,131275.0,131158.0,131070.0,129524.0,127760.0,125080.0,123098.0,121627.0,121158.0,121222.0,121331.0,121459.0,121565.0,121673.0,122132.0,123115.0,124398.0,125947.0,127392.0,128562.0,129185.0,129597.0,130041.0,130611.0,131126.0,131929.0,132802.0,133712.0,134386.0,135172.0,136034.0,136938.0,137960.0,138992.0,140046.0,141029.0,141996.0,142927.0,143761.0,144739.0,145854.0,147047.0,148219.0,149375.0,150526.0,151539.0,152601.0,153680.0,154900.0,156106.0,157322.0,158517.0,159752.0,161028.0,162313.0,163529.0,164611.0,165723.0,166930.0,168002.0,169172.0,170231.0,171458.0,172630.0,173771.0,174847.0,175681.0,176658.0,177632.0,178764.0,179711.0,180731.0,181517.0,182255.0,182917.0,183704.0,184580.0,185439.0,186441.0,187287.0,188315.0,189211.0,190168.0,191242.0,192346.0,193694.0,194858.0,196033.0,197019.0,198077.0,199282.0,200591.0,201724.0,202857.0,203978,205187,206355,207569,208826,210027,211421,212789,213938,214971,215921,216974,217802,218714,219492,220093,220403,220811,221026,221238,221221,221461,221857,222593,222412,222295,221283,221165,220351,220160,219387,219120,218832,218439,217942,215636,215315,212847,212801,210117,209625,207226,206403,204198,202674,199844,196971,194859,192454,191276,189204,188150,187208,186627,185208,183997,182579,182493,181996,182118,180616,180203,178345,177820,174817,173133,170787,169491,167215,165147,163072,161333,159887,157836,156446,154289,153470,151909,150890,148631,147361,145545,144334,142207,141392,140512,140147,139361,138519,137722,137059,137242,137690,138144,138897,139952,140703,141631,142403,143853,145241,147072,148680,150529,151508,152776,153532,154625,155171,155390,155935,156822,157790,158410,159199,159748,160553,161138,161679,161945,162631,163882,164885,165229,165377,165611,165959,166256,166645,167229,167888,169052,169920,170520,170932,171558,172532,173382,174041,174701,175511,176402,177417,178240,179392,180331,181125,181654,182159,182893,183706,184528,185325,186239,187279,187924,188158,188322,188729,189339,189788,190225,190713,191171,191590,191814,191675,191718,191841,192256,192559,192769,193006,193125,193174,193217,193250,193329,193569
5,47,Pennsylvania,6,97178.0,96979.0,96850.0,96780.0,96726.0,96686.0,96691.0,96786.0,96895.0,96974.0,97043.0,97195.0,97383.0,97545.0,97703.0,97864.0,97999.0,98121.0,98218.0,98292.0,98413.0,98591.0,98804.0,98956.0,99133.0,99258.0,99320.0,99324.0,99433.0,99646.0,99882.0,100022.0,100107.0,100227.0,100473.0,100779.0,101029.0,101222.0,101452.0,101739.0,102054.0,102335.0,102657.0,103057.0,103548.0,104067.0,104629.0,105106.0,105598.0,106174.0,106795.0,107394.0,107845.0,108355.0,108895.0,109488.0,110081.0,110647.0,111214.0,111861.0,112550.0,113157.0,113698.0,114279.0,114954.0,115614.0,116240.0,116945.0,117636.0,118396.0,119120.0,119946.0,120805.0,121692.0,122558.0,123443.0,124455.0,125564.0,126711.0,127750.0,128834.0,129938.0,131106.0,132221.0,133337.0,134512.0,135762.0,136953.0,138042.0,139124.0,140382.0,141650.0,142872.0,143931.0,145289.0,146665.0,148095.0,149405.0,150816.0,152415.0,154094.0,155733.0,157107.0,158581.0,160178.0,162127.0,163546.0,164972,166351,168072,169770,171426,173204,175029,176893,178595,180161,181380,182577,183643,184799,185822,186917,187865,188654,189197,189545,189767,189999,190407,190855,191316,191437,191701,191820,192202,192295,192353,192465,192666,192793,192561,192320,191854,191658,191075,190460,189446,188602,187854,187075,186210,185214,184293,183546,183112,182610,182223,181742,181441,181096,180875,180847,180998,181200,181469,181557,181434,181265,180985,180767,180329,179668,178701,177542,176337,175204,174167,173309,172544,171640,170691,169748,168960,168492,168158,167976,167638,167305,166847,166344,165965,165722,165519,165184,164854,164656,164563,164443,164386,164415,164574,164639,164638,164865,165373,166038,166638,167012,167367,167638,167998,168202,168437,168807,169065,168946,168652,168567,168742,168830,168821,168861,168996,169357,169587,169703,170013,170595,171193,171335,171296,171388,171697,172074,172376,172348,172487,172811,172996,172976,172863,173322,173835,174437,174830,175169,175508,176078,176566,176951,177284,177981,178794,179490,180056,180522,181000,181566,182042,182668,183264,184031,185120,186073,186885,187310,187745,188257,188901,189523,190259,190817,191511,192166,192578,192904,193302,193955,194655,195314,195887,196426,196911,197412,197828
6,44,Ohio,7,91294.0,91531.0,91778.0,92041.0,92337.0,92649.0,92932.0,93214.0,93511.0,93780.0,94051.0,94327.0,94645.0,94940.0,95210.0,95462.0,95682.0,95864.0,96059.0,96280.0,96526.0,96865.0,97231.0,97593.0,97835.0,98092.0,98395.0,98703.0,98998.0,99321.0,99724.0,100093.0,100347.0,100456.0,100601.0,100791.0,101048.0,101220.0,101356.0,101507.0,101679.0,101894.0,102075.0,102279.0,102608.0,103098.0,103590.0,103965.0,104329.0,104766.0,105263.0,105681.0,106087.0,106460.0,106832.0,107216.0,107588.0,107891.0,108152.0,108482.0,108845.0,109199.0,109484.0,109786.0,110140.0,110479.0,110832.0,111143.0,111437.0,111695.0,111975.0,112296.0,112613.0,112945.0,113256.0,113597.0,113865.0,114146.0,114422.0,114760.0,115123.0,115519.0,115897.0,116226.0,116526.0,116782.0,117086.0,117412.0,117796.0,118182.0,118541.0,118852.0,119139.0,119414.0,119706.0,120025.0,120358.0,120752.0,121109.0,121461.0,121784.0,122122.0,122477.0,122833.0,123192.0,123579.0,123979.0,124365,124703,124949,125224,125481,125759,126009,126263,126565,126857,127097,127267,127383,127536,127717,127866,127994,128071,128120,128104,128030,127892,127829,127789,127694,127511,127252,127048,126780,126557,126342,126190,125918,125684,125318,124959,124673,124351,124054,123625,123292,122832,122292,121575,120972,120306,119564,118663,117809,117143,116550,116016,115480,115032,114676,114450,114233,114053,113914,113901,113747,113562,113352,113073,112581,111972,111317,110657,109904,109175,108613,108086,107581,106886,106149,105481,104983,104596,104174,103729,103328,102933,102417,101880,101430,101075,100663,100214,99831,99587,99527,99528,99519,99500,99643,99860,100150,100474,100969,101610,102197,102676,102972,103316,103637,103911,103902,103845,103747,103806,103890,103978,104119,104184,104357,104470,104746,105132,105664,106232,106716,107095,107440,107761,108075,108397,108727,109043,109351,109633,110014,110326,110750,111159,111559,111928,112352,112901,113450,114003,114579,115237,116065,116973,117802,118529,119180,119922,120566,121344,122170,123126,123967,124712,125057,125397,125944,126888,127908,128765,129636,130389,130993,131622,132312,133000,133750,134462,135172,135628,136080,136642,137257,137888,138629,139291,139968,140690,141546
7,30,Michigan,8,114349.0,115086.0,115842.0,116545.0,117230.0,117794.0,118369.0,118998.0,119758.0,120532.0,121286.0,122026.0,122687.0,123347.0,123966.0,124656.0,125348.0,126189.0,126997.0,127805.0,128375.0,128925.0,129440.0,130000.0,130521.0,131117.0,131697.0,132345.0,133005.0,133768.0,134532.0,135169.0,135868.0,136563.0,137482.0,138365.0,139411.0,140312.0,141349.0,142231.0,143226.0,144070.0,145033.0,145966.0,146980.0,148024.0,148966.0,149910.0,150733.0,151703.0,152610.0,153759.0,154685.0,155554.0,156172.0,157005.0,157835.0,158664.0,159368.0,160038.0,160711.0,161371.0,162018.0,162601.0,163228.0,163912.0,164685.0,165371.0,166023.0,166612.0,167210.0,167874.0,168483.0,168992.0,169445.0,169786.0,170222.0,170623.0,171058.0,171406.0,171719.0,172016.0,172407.0,172596.0,172891.0,173219.0,173667.0,174128.0,174523.0,174970.0,175365.0,175833.0,176262.0,176733.0,177078.0,177556.0,177939.0,178346.0,178736.0,179180.0,179568.0,179845.0,180148.0,180391.0,180688.0,180966.0,181211.0,181454,181664,181917,181968,181956,182044,182292,182506,182644,182683,182728,182728,182671,182548,182293,181938,181492,180943,180356,179644,178856,177974,177101,176238,175258,174219,172875,171674,170393,169485,168246,166842,165235,163969,162766,161652,160164,158281,156353,154541,152786,150458,148187,146498,145132,143213,140472,137539,134967,132972,131247,129372,127705,126105,124712,122926,121278,119918,119376,118799,118249,117633,117202,116900,116139,115429,114560,113793,112847,112033,111181,110601,109861,109156,108332,107571,107103,106872,107014,107228,107494,107778,107934,108065,108614,109263,110091,110823,111823,112804,113644,114716,115862,116964,118110,119556,121181,122814,124467,126296,128238,130329,132573,134595,136500,138337,140202,141848,143071,144312,145448,146640,147545,148181,148700,149181,149961,150635,151353,151950,152814,153440,153974,154432,155051,155776,156179,156696,157213,158304,159351,160314,160806,161524,162338,163319,164294,165342,166647,167882,168845,169525,170236,171173,172552,173942,175382,176392,177196,178047,179061,180214,181490,182643,183933,185177,186340,187579,188665,190017,191156,192324,193278,194139,194855,195721,196330,196902,197290,197609,197972,198291,198858,199328,199792,200229,200734,201193,201741
8,16,Georgia,9,96225.0,96708.0,97264.0,97786.0,98321.0,98832.0,99340.0,99896.0,100437.0,100840.0,101289.0,101777.0,102423.0,102996.0,103485.0,103998.0,104549.0,105162.0,105835.0,106481.0,107163.0,108132.0,109088.0,110002.0,110594.0,111369.0,112147.0,112987.0,113791.0,114640.0,115487.0,116369.0,117311.0,118244.0,119217.0,120252.0,121352.0,122460.0,123632.0,124944.0,126293.0,127600.0,128871.0,130069.0,131239.0,132202.0,133231.0,134324.0,135605.0,136810.0,138001.0,139148.0,140295.0,141451.0,142568.0,143609.0,144614.0,145635.0,146653.0,147576.0,148412.0,149236.0,149983.0,150652.0,151295.0,151908.0,152549.0,153192.0,153822.0,154374.0,154826.0,155156.0,155515.0,155839.0,156217.0,156476.0,156664.0,156866.0,157111.0,157480.0,157744.0,158040.0,158212.0,158542.0,158711.0,158867.0,158931.0,159149.0,159386.0,159632.0,159752.0,159780.0,159931.0,160106.0,160514.0,160778.0,161162.0,161447.0,161689.0,161897.0,162184.0,162478.0,162808.0,163105.0,163325.0,163573.0,163757.0,164092,164470,164929,165447,165687,165973,166243,166624,167092,167503,168002,168340,168502,168437,168346,168417,168794,169058,169315,169506,169718,169949,170209,170584,171054,171397,171561,171511,171380,171197,170766,170227,169617,169278,168628,167551,166274,165210,164537,163677,162613,161456,160440,159381,157871,155782,153692,151999,150463,148693,146905,145432,144550,143617,142973,142087,141592,141060,140517,139782,139031,138775,138452,137749,136173,134461,132287,130526,128647,127505,126203,125213,123758,122190,120214,118481,117180,116461,116195,115832,115322,114358,113568,112819,112636,112489,112672,113055,113471,113614,113415,113501,114138,114981,116192,117246,118505,119770,121218,122795,124460,126319,128278,129934,131317,132759,134004,135414,136484,137454,138226,138763,139655,140442,141431,142347,143270,144233,145053,145729,146357,147294,148600,150052,151020,151945,152879,153827,154832,155489,156631,157743,159312,160686,161741,162414,162906,163554,163906,164909,166017,167639,168814,170232,171461,172543,173544,174934,176664,178274,180235,181842,183357,184804,186465,188306,189710,191083,192402,194043,195590,197007,198203,199554,200859,201727,202360,202810,203524,204363,205288,205764,206129,206557,206974,207234,207478,207915,208427
9,36,North Carolina,10,95341.0,95703.0,96075.0,96438.0,96859.0,97240.0,97638.0,98039.0,98497.0,98897.0,99319.0,99796.0,100314.0,100793.0,101256.0,101737.0,102224.0,102783.0,103276.0,103791.0,104255.0,104936.0,105459.0,105911.0,106217.0,106776.0,107349.0,107983.0,108487.0,108951.0,109475.0,109940.0,110375.0,110571.0,110875.0,111165.0,111577.0,111855.0,112148.0,112299.0,112430.0,112622.0,112861.0,113135.0,113377.0,113661.0,114141.0,114701.0,115286.0,115699.0,116101.0,116518.0,116954.0,117320.0,117650.0,118114.0,118528.0,118984.0,119126.0,119280.0,119344.0,119577.0,119818.0,120080.0,120354.0,120631.0,120897.0,121048.0,121216.0,121348.0,121578.0,121771.0,122021.0,122216.0,122414.0,122608.0,122792.0,122982.0,123152.0,123331.0,123534.0,123741.0,124012.0,124294.0,124518.0,124732.0,124866.0,124991.0,125165.0,125354.0,125637.0,125902.0,126161.0,126521.0,126814.0,127154.0,127417.0,127742.0,128144.0,128620.0,129122.0,129675.0,130122.0,130611.0,131185.0,131660.0,132258.0,132751,133449,134071,134751,135473,136138,136840,137654,138554,139421,140259,141084,141915,142729,143617,144519,145469,146437,147301,148054,148652,149263,149919,150416,150997,151598,152303,152958,153353,153688,153903,154097,154316,154467,154577,154483,154284,153929,153530,153023,152509,152095,151670,151145,150292,149313,148239,147602,146985,146248,145221,144233,143444,142438,141568,140877,140559,140184,139801,139171,138591,138193,137899,137509,136844,136181,135404,134624,133751,132999,132260,131549,130715,129728,128796,128023,127415,126888,126443,125881,125359,124905,124545,124222,123907,123808,123633,123381,123145,123133,123236,123397,123458,123398,123345,123307,123508,123745,124204,124751,125297,125687,125906,126149,126434,126937,127406,127896,128189,128325,128356,128273,128197,128096,128168,128321,128600,128815,129137,129470,129903,130258,130544,130875,131301,131801,132140,132422,132652,132868,133093,133427,133793,134344,134983,135716,136389,136979,137677,138363,139136,139870,140468,140913,141471,142164,142961,143650,144314,145094,145894,146797,147540,148410,149419,150618,151696,152542,153420,154349,155338,156212,157061,157809,158642,159454,160325,161063,161814,162640,163372,164097,164796,165534,166256,166998,167727,168398,168964
