,RegionID,RegionName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01
0,9,California,1,161327.0,161154.0,161021.0,160947.0,160952.0,161001.0,161175.0,161376.0,161653.0,161695.0,161802.0,161989.0,162465.0,163029.0,163622.0,164347.0,165119.0,165980.0,166756.0,167658.0,168683.0,170105.0,171678.0,173189.0,174477.0,175641.0,176845.0,177937.0,179124.0,180416.0,181782.0,183039.0,184107.0,185364.0,186694.0,188088.0,189346.0,190659.0,192211.0,193857.0,195319.0,196632.0,198172.0,200037.0,202094.0,204099.0,206015.0,207982.0,210092.0,212388.0,214773.0,217235.0,219864.0,222583.0,225214.0,227835.0,230482.0,233025.0,235665.0,238421.0,241334.0,243949.0,246256.0,248301.0,250309.0,252360.0,254511.0,256641.0,258783.0,260958.0,263309.0,265731.0,268349.0,271154.0,274436.0,278155.0,282097.0,285969.0,289877.0,294022.0,298299.0,302406.0,306170.0,309943.0,313734.0,317657.0,321045.0,324769.0,328877.0,333670.0,338461.0,343599.0,348724.0,354622.0,360906.0,367596.0,374445.0,382123.0,390822.0,399394.0,407381.0,414978.0,422560.0,429720.0,437023.0,443781,451083,458193,465735,472366,478519,484777,491269,497989,504357,509542,514152,517984,521226,524310,526602,529146,530475,530956,530611,529150,527428,525924,524450,522973,520979,518768,516485,513037,509304,504760,499980,494297,487656,480920,473404,465897,456573,445958,434385,422990,412454,401897,391989,382975,374917,366021,357336,349283,344238,339810,335792,332178,329622,328362,327525,326966,327016,328563,330562,332086,331977,332859,334114,335903,335569,334424,332890,331688,330057,327806,325857,324193,322768,320599,318393,315371,313578,312181,310818,309213,307430,306730,305598,304917,304419,304644,305391,306970,308926,311263,314207,317604,321791,325654,330745,335760,341695,348244,355547,363026,370576,378021,385244,391650,397214,402343,406789,411287,414993,417196,418285,418936,419799,421122,421849,423111,424459,426872,428660,430577,432740,435964,438677,441508,443708,445813,448339,451253,454452,456976,460460,463533,466197,467910,470584,473168,475904,478300,481317,484102,487121,489685,491896,494308,496916,500047,502903,506170,509669,512578,515274,518213,521597,525625,529784,534151,538495,542284,545110,547217,549150,551327,552948,553965,554703,555421,555282,554729,553595,553169,553549,554281,555050,556081,557569,559533,561558,563566,566414,569687
1,54,Texas,2,97784.0,97925.0,98042.0,98133.0,98248.0,98399.0,98573.0,98788.0,99023.0,99041.0,99036.0,99019.0,99149.0,99235.0,99363.0,99493.0,99670.0,99852.0,100100.0,100325.0,100563.0,101037.0,101490.0,101938.0,102061.0,102267.0,102474.0,102774.0,103002.0,103217.0,103284.0,103317.0,103322.0,103542.0,104029.0,104698.0,105442.0,106132.0,106815.0,107470.0,108028.0,108491.0,109028.0,109619.0,110213.0,110600.0,110880.0,111048.0,111235.0,111272.0,111307.0,111301.0,111484.0,111728.0,111975.0,112267.0,112586.0,112804.0,112794.0,112629.0,112532.0,112617.0,112724.0,112851.0,112898.0,113002.0,113124.0,113213.0,113298.0,113408.0,113644.0,113991.0,114409.0,114832.0,115317.0,115795.0,116288.0,116706.0,117090.0,117485.0,117871.0,118146.0,118233.0,118217.0,118256.0,118388.0,118625.0,118848.0,119124.0,119361.0,119670.0,119944.0,120260.0,120828.0,121858.0,123205.0,124340.0,125182.0,125673.0,126267.0,126810.0,127474.0,128080.0,128667.0,129244.0,129867,130270,130519,130697,130952,131345,131671,132009,132290,132473,132774,133005,133366,133769,134222,134659,135175,135705,136248,136717,137218,137876,138437,139013,139412,139707,139911,140227,140586,141001,141299,141766,142214,142609,142873,143103,142903,142507,141954,141611,141226,140855,140565,140163,139669,139130,138563,138014,137722,137706,137774,137657,137502,137363,137334,137254,137203,137134,137343,137513,137609,137594,137614,137714,137745,137632,137173,136651,136126,135702,135193,134770,134363,133842,133274,132706,132246,131823,131641,131617,131712,131735,131611,131444,131418,131655,132001,132299,132620,132974,133400,133781,134072,134353,134804,135391,136077,136714,137465,138303,139161,140029,140919,141854,142886,143972,145050,146002,146867,147757,148547,149310,150106,151022,151896,152839,153779,154750,155717,156722,157739,158749,159830,160934,161962,162974,163967,164930,165815,166756,167614,168511,169451,170363,171249,172107,173137,174110,175164,176087,177070,177960,179068,180244,181306,182364,183300,184301,185147,186008,186771,187543,188372,189347,190328,191212,191975,192786,193803,194951,196052,197077,197989,198931,199700,200594,201365,202289,203176,204061,204744,205282,205858,206453,207116,207728,208377,208811,209229,209497,209818
2,43,New York,3,119346.0,119247.0,119181.0,119101.0,119024.0,118981.0,118987.0,119023.0,119104.0,119057.0,119272.0,119504.0,119804.0,119904.0,120032.0,120283.0,120522.0,120758.0,120920.0,121270.0,121642.0,122383.0,122807.0,123210.0,123274.0,123478.0,123684.0,123767.0,124091.0,124500.0,125155.0,125533.0,125925.0,126111.0,126535.0,126991.0,127712.0,128492.0,129327.0,130433.0,131322.0,132199.0,132814.0,133504.0,134125.0,134730.0,135591.0,136589.0,137715.0,138703.0,139667.0,140399.0,141073.0,141714.0,142483.0,143432.0,144437.0,145469.0,146302.0,147129.0,147934.0,148834.0,149747.0,150713.0,151716.0,152712.0,153790.0,154903.0,156069.0,157255.0,158423.0,159472.0,160556.0,161655.0,162857.0,164096.0,165377.0,166641.0,167870.0,169165.0,170574.0,171976.0,173431.0,175136.0,176733.0,178250.0,179580.0,180928.0,182493.0,184184.0,185935.0,187400.0,188762.0,190222.0,191696.0,193035.0,194437.0,196007.0,197810.0,199658.0,201374.0,203093.0,204724.0,206598.0,208381.0,210210,212051,213810,215689,217533,219336,221167,223026,225015,226971,228758,230573,232151,233614,234922,236109,237142,238154,239003,239722,240125,240421,240593,240757,240861,240996,241175,241222,241384,241428,241559,241637,241650,241855,242069,242071,242016,241670,241348,240779,240040,239165,238136,237145,236099,234799,233408,232136,230934,229866,228782,227827,226899,225984,225192,224528,224148,224030,224025,224038,223894,223860,223776,223983,224105,224408,224451,224176,223590,222767,222050,221291,220810,220304,219854,219069,218267,217273,216506,215949,215581,215325,214920,214579,214187,213718,213344,213065,213036,213084,213193,213350,213524,213617,213816,214076,214376,214848,215236,215822,216343,216992,217625,218177,218700,219338,219986,220574,221146,221685,222320,222770,223140,223403,223582,223802,224043,224357,224710,225169,225591,225872,226030,226296,226677,227168,227744,228320,228911,229363,229737,229971,230253,230876,231681,232447,233065,233538,234094,234741,235437,236279,237162,238252,239214,239938,240542,241411,242562,243934,245081,246100,247034,247985,249056,250004,251131,252247,253389,254393,255309,256321,257541,258868,260216,261371,262303,263080,263803,264628,265535,266347,267093,267665,268153,268581,269000,269501,270068,270732,271319
3,14,Florida,4,103686.0,103906.0,104147.0,104377.0,104583.0,104728.0,104881.0,105051.0,105259.0,105293.0,105385.0,105487.0,105808.0,106105.0,106373.0,106631.0,106904.0,107221.0,107506.0,107838.0,108171.0,108880.0,109472.0,110000.0,110119.0,110312.0,110463.0,110674.0,110976.0,111446.0,111998.0,112402.0,112720.0,112823.0,113049.0,113320.0,113798.0,114282.0,114939.0,115624.0,116237.0,116673.0,117053.0,117567.0,118131.0,118726.0,119328.0,120006.0,120736.0,121428.0,122061.0,122666.0,123282.0,123974.0,124712.0,125506.0,126326.0,127176.0,128062.0,128958.0,129870.0,130808.0,131764.0,132797.0,133863.0,134989.0,136125.0,137245.0,138338.0,139409.0,140431.0,141440.0,142465.0,143535.0,144641.0,145742.0,146899.0,148030.0,149229.0,150450.0,151843.0,153295.0,154836.0,156355.0,157875.0,159332.0,160702.0,162026.0,163356.0,164863.0,166546.0,168370.0,170146.0,171971.0,173829.0,175760.0,177675.0,179815.0,182210.0,184870.0,187771.0,190772.0,193816.0,196854.0,200109.0,203581,207278,211175,215351,219834,224726,230073,235535,240967,246087,251043,255780,260184,264102,267977,271804,275206,277758,279274,280159,280276,280102,279651,278772,277739,276497,274995,272971,270599,267729,264535,261195,257969,254671,251160,247514,243513,239377,234860,230547,225950,221756,217446,213144,208876,204516,200011,195667,191593,187950,184454,180907,177750,174813,172583,170568,168749,167262,166399,165660,165054,164348,163877,163433,162923,162151,161049,159739,158332,156828,155173,153600,151994,150500,148929,147509,146155,145089,144116,143444,142929,142639,142448,142302,142269,142295,142590,143071,143647,144306,145084,145972,146911,147921,149001,150257,151746,153427,155152,156900,158834,160782,162881,165042,167254,169233,171111,172815,174402,175749,177065,178186,179223,180096,180960,181580,182289,183274,184411,185546,186592,187750,188902,190061,191264,192562,193795,195201,196661,198125,199412,200846,202373,204007,205408,206821,208153,209633,211194,212688,214039,215276,216691,218054,219498,220835,222240,223789,225316,226845,228212,229716,231169,232617,233958,235302,236309,237445,238819,240427,242032,243370,244634,245844,247082,248236,249330,250476,251525,252260,252679,253110,253543,254131,254842,255523,256220,256984,257787,258531,259483
4,21,Illinois,5,138628.0,138108.0,137798.0,137369.0,137823.0,138524.0,139985.0,141190.0,142106.0,142416.0,142410.0,142537.0,142412.0,142555.0,142355.0,142098.0,140071.0,137537.0,133773.0,130786.0,128579.0,127714.0,127542.0,127439.0,127396.0,127332.0,127266.0,127549.0,128729.0,130428.0,132678.0,134596.0,136063.0,136733.0,137106.0,137489.0,137995.0,138423.0,139165.0,139962.0,140736.0,141252.0,141880.0,142651.0,143480.0,144481.0,145482.0,146489.0,147384.0,148257.0,149094.0,149882.0,150785.0,151754.0,152748.0,153772.0,154846.0,155875.0,156774.0,157687.0,158661.0,159768.0,160820.0,161780.0,162689.0,163676.0,164736.0,165810.0,166750.0,167631.0,168552.0,169642.0,170579.0,171564.0,172498.0,173664.0,174781.0,175844.0,176863.0,177784.0,178876.0,179936.0,181130.0,182168.0,183325.0,184294.0,185220.0,186091.0,187186.0,188457.0,189699.0,190870.0,191902.0,193123.0,194294.0,195506.0,196780.0,198160.0,199726.0,201176.0,202544.0,203676.0,204898.0,206279.0,207802.0,209140,210488,211810,213261,214705,216204,217719,219188,220840,222447,223930,225280,226526,227815,228896,229946,230810,231572,232139,232760,233189,233553,233773,234107,234584,235149,235007,234881,234097,233883,233093,232756,231948,231439,230739,229895,229027,226837,226083,223689,222954,220264,219001,216313,214697,212088,209935,206925,203871,201571,199038,197238,194806,192969,191501,190303,188741,187506,186411,186253,185691,185397,184067,183977,182929,183018,180955,179887,178161,177227,175377,173802,172230,171030,169910,168085,166817,165015,164607,163557,163042,161338,160478,159071,158347,156868,156542,156095,156118,155716,155126,154587,154088,154432,154972,155552,156208,157080,157682,158584,159175,160348,161431,162987,164360,165890,166679,167693,168287,169175,169556,169722,170130,170833,171564,171974,172478,172754,173298,173670,174021,174121,174602,175343,176084,176298,176581,176821,177152,177384,177664,178106,178685,179695,180568,181315,181825,182470,183218,183938,184560,185256,186107,187023,187998,188758,189645,190475,191246,191843,192354,193032,193792,194647,195441,196293,197121,197751,198131,198479,198952,199568,200067,200522,201058,201550,202014,202252,202337,202549,202849,203233,203557,203801,204112,204340,204447,204494,204530,204656,204859
5,47,Pennsylvania,6,95385.0,95294.0,95253.0,95222.0,95266.0,95298.0,95383.0,95484.0,95617.0,95716.0,95822.0,95981.0,96197.0,96465.0,96712.0,96985.0,97117.0,97279.0,97379.0,97577.0,97797.0,98107.0,98394.0,98619.0,98752.0,98865.0,98955.0,99052.0,99296.0,99583.0,99925.0,100101.0,100198.0,100258.0,100389.0,100569.0,100807.0,101031.0,101297.0,101568.0,101815.0,102075.0,102314.0,102631.0,103009.0,103438.0,103942.0,104435.0,104916.0,105386.0,105824.0,106255.0,106624.0,107011.0,107424.0,107913.0,108434.0,108950.0,109409.0,109894.0,110390.0,110835.0,111266.0,111699.0,112181.0,112657.0,113129.0,113673.0,114203.0,114770.0,115331.0,115944.0,116577.0,117199.0,117808.0,118444.0,119206.0,119982.0,120807.0,121523.0,122300.0,123093.0,123907.0,124707.0,125505.0,126391.0,127338.0,128252.0,129110.0,129988.0,130930.0,131820.0,132675.0,133485.0,134581.0,135664.0,136783.0,137903.0,139059.0,140357.0,141562.0,142861.0,144045.0,145402.0,146766.0,148234,149381,150562,151787,153114,154500,155897,157463,158963,160416,161762,163073,164242,165308,166283,167261,168245,169248,170059,170726,171236,171722,172099,172444,172854,173322,173830,174174,174473,174619,174914,175172,175378,175505,175650,175771,175724,175568,175221,174886,174430,173960,173284,172586,171955,171408,170786,170053,169280,168702,168229,167808,167357,166982,166741,166520,166384,166343,166500,166721,167028,167228,167429,167570,167638,167586,167316,166894,166226,165431,164528,163692,162904,162163,161433,160612,159813,159009,158396,157981,157770,157578,157339,157046,156718,156400,156118,155958,155897,155830,155724,155643,155583,155612,155672,155817,156007,156214,156433,156726,157042,157439,157856,158216,158551,158796,159096,159312,159551,159775,159970,160034,160068,160221,160460,160653,160767,160885,161033,161247,161417,161557,161842,162261,162793,163063,163236,163423,163755,164137,164480,164738,165150,165704,166068,166294,166378,166816,167293,167856,168289,168753,169284,169988,170471,170916,171347,172079,172847,173587,174300,175032,175837,176680,177434,178165,179002,179883,181081,182130,183116,183722,184308,184882,185533,186122,186808,187461,188182,188887,189342,189778,190276,191021,191788,192531,193192,193868,194494,195124,195692
6,44,Ohio,7,92231.0,92549.0,92842.0,93098.0,93385.0,93682.0,93984.0,94283.0,94592.0,94890.0,95189.0,95470.0,95757.0,96054.0,96386.0,96744.0,97051.0,97347.0,97617.0,97907.0,98210.0,98574.0,98975.0,99362.0,99689.0,100005.0,100340.0,100727.0,101122.0,101524.0,101966.0,102385.0,102735.0,102994.0,103270.0,103608.0,103955.0,104240.0,104503.0,104780.0,105110.0,105454.0,105812.0,106185.0,106644.0,107175.0,107703.0,108140.0,108598.0,109135.0,109716.0,110209.0,110651.0,111087.0,111510.0,111944.0,112359.0,112771.0,113143.0,113544.0,113932.0,114291.0,114594.0,114930.0,115285.0,115637.0,115972.0,116279.0,116566.0,116833.0,117102.0,117398.0,117689.0,117989.0,118280.0,118585.0,118866.0,119152.0,119458.0,119819.0,120192.0,120559.0,120916.0,121247.0,121603.0,121957.0,122356.0,122759.0,123229.0,123691.0,124143.0,124502.0,124857.0,125174.0,125539.0,125914.0,126275.0,126637.0,126968.0,127321.0,127600.0,127890.0,128165.0,128491.0,128813.0,129200,129579,129958,130295,130586,130884,131147,131452,131729,132025,132342,132643,132873,133010,133133,133253,133369,133441,133509,133529,133466,133395,133307,133216,133126,133083,132915,132684,132386,132126,131801,131482,131259,131005,130607,130202,129833,129448,129102,128673,128270,127807,127437,127028,126541,125917,125410,124793,124094,123255,122507,121947,121494,121063,120607,120175,119836,119661,119484,119396,119305,119392,119335,119275,119100,118900,118475,117983,117420,116856,116238,115576,115023,114446,113959,113321,112718,112151,111806,111531,111270,110959,110694,110487,110225,109942,109760,109680,109570,109398,109263,109234,109291,109350,109388,109458,109656,109944,110183,110449,110778,111210,111599,111983,112274,112671,113015,113306,113331,113290,113250,113318,113451,113663,113915,114069,114277,114424,114727,115104,115657,116249,116783,117232,117698,118139,118578,118995,119395,119785,120150,120481,120887,121287,121804,122275,122705,123121,123581,124114,124678,125256,125890,126584,127309,127986,128616,129285,129938,130604,131181,131933,132726,133620,134388,135105,135593,136210,136897,137857,138737,139545,140297,140944,141528,142098,142846,143617,144440,145097,145757,146242,146814,147449,148172,148882,149619,150312,150921,151528,152212
7,30,Michigan,8,89356.0,89996.0,90650.0,91242.0,91790.0,92297.0,92797.0,93350.0,93949.0,94583.0,95161.0,95768.0,96303.0,96872.0,97359.0,97934.0,98585.0,99301.0,100017.0,100652.0,101211.0,101780.0,102383.0,102973.0,103530.0,104070.0,104684.0,105307.0,105906.0,106512.0,107137.0,107764.0,108406.0,108907.0,109540.0,110144.0,110901.0,111611.0,112417.0,113195.0,113978.0,114715.0,115433.0,116157.0,116886.0,117745.0,118506.0,119324.0,120069.0,120899.0,121673.0,122517.0,123306.0,124046.0,124751.0,125530.0,126339.0,127055.0,127679.0,128270.0,128870.0,129483.0,130017.0,130536.0,131070.0,131680.0,132242.0,132738.0,133183.0,133692.0,134218.0,134763.0,135212.0,135552.0,135892.0,136184.0,136522.0,136795.0,137120.0,137464.0,137833.0,138170.0,138567.0,138842.0,139235.0,139690.0,140245.0,140755.0,141222.0,141725.0,142263.0,142750.0,143215.0,143644.0,144049.0,144526.0,144922.0,145323.0,145696.0,146146.0,146560.0,146933.0,147298.0,147670.0,148036.0,148423,148738,149091,149439,149845,150137,150363,150590,150862,151081,151259,151405,151542,151674,151706,151633,151434,151134,150883,150513,150150,149622,149073,148377,147651,146988,146355,145776,144963,144208,143218,142504,141415,140304,139007,138021,137081,135919,134488,132729,131051,129349,127662,125706,123974,122543,121171,119428,117271,115255,113306,111643,110000,108452,107263,106197,105357,104327,103559,102902,102666,102312,102119,102013,102061,102107,101726,101187,100388,99681,98900,98288,97593,97064,96390,95703,94982,94305,93828,93635,93659,93708,93701,93694,93736,93755,94017,94322,94780,95269,95905,96503,97075,97780,98573,99320,100088,101067,102198,103391,104532,105680,106922,108245,109645,110891,112067,113278,114509,115567,116368,117048,117775,118588,119285,119836,120256,120737,121273,121766,122274,122832,123549,124194,124714,125174,125678,126285,126798,127301,127895,128665,129381,130048,130531,131290,132097,133007,133914,134767,135819,136875,137849,138706,139546,140432,141437,142469,143612,144603,145428,146282,147157,148103,149088,150056,151253,152476,153715,154771,155691,156666,157653,158719,159632,160507,161258,162180,162864,163562,164149,164805,165493,166186,166946,167619,168339,169033,169806,170458,171168
8,16,Georgia,9,102817.0,103162.0,103527.0,103865.0,104207.0,104542.0,104907.0,105286.0,105699.0,106036.0,106422.0,106834.0,107326.0,107788.0,108207.0,108662.0,109163.0,109712.0,110237.0,110746.0,111262.0,111981.0,112634.0,113215.0,113577.0,114049.0,114589.0,115169.0,115733.0,116274.0,116838.0,117431.0,117985.0,118431.0,118909.0,119484.0,120194.0,120872.0,121563.0,122281.0,122942.0,123616.0,124270.0,124942.0,125585.0,126202.0,126930.0,127713.0,128580.0,129389.0,130190.0,130961.0,131787.0,132614.0,133473.0,134341.0,135297.0,136273.0,137084.0,137794.0,138408.0,139105.0,139763.0,140426.0,141081.0,141713.0,142313.0,142872.0,143400.0,143891.0,144425.0,144922.0,145435.0,145906.0,146389.0,146834.0,147213.0,147598.0,147994.0,148383.0,148703.0,149049.0,149398.0,149803.0,150123.0,150403.0,150663.0,150949.0,151280.0,151601.0,151903.0,152226.0,152623.0,153022.0,153437.0,153840.0,154296.0,154730.0,155127.0,155531.0,155992.0,156489.0,157023.0,157520.0,157979.0,158383,158776,159194,159703,160313,160971,161578,162128,162710,163284,163923,164481,165118,165715,166284,166732,167136,167598,168123,168643,169101,169514,169906,170364,170810,171230,171628,171954,172168,172219,172155,172027,171757,171448,171072,170747,170139,169366,168365,167533,166703,165806,164734,163530,162372,161083,159520,157600,155828,154159,152610,150755,148944,147282,146037,144988,144035,143029,142253,141707,141142,140525,139938,139695,139520,139163,138252,137024,135528,134232,132862,131731,130510,129505,128213,126789,125160,123721,122631,121991,121717,121471,121183,120545,120073,119586,119669,119866,120272,120694,121205,121537,121712,121927,122515,123341,124378,125466,126520,127506,128579,129750,130934,132255,133651,135084,136292,137551,138619,139671,140521,141382,142131,142829,143575,144273,145017,145698,146406,147044,147671,148269,148854,149519,150326,151197,151953,152691,153398,154070,154727,155380,156197,156998,157929,158846,159705,160406,161031,161661,162194,162891,163660,164589,165364,166216,167059,167958,168854,169889,171041,172160,173480,174744,176149,177487,178888,180227,181367,182547,183772,185107,186394,187611,188754,189906,191092,192181,193121,193950,194915,195899,196838,197627,198395,199215,199989,200724,201313,201944,202653
9,36,North Carolina,10,110371.0,110761.0,111203.0,111670.0,112127.0,112526.0,113001.0,113531.0,114097.0,114650.0,115191.0,115781.0,116332.0,116850.0,117275.0,117656.0,118128.0,118696.0,119138.0,119503.0,119830.0,120250.0,120613.0,120942.0,121281.0,121759.0,122294.0,122845.0,123279.0,123686.0,124153.0,124598.0,125024.0,125330.0,125728.0,126108.0,126575.0,126931.0,127277.0,127647.0,128016.0,128410.0,128757.0,129181.0,129631.0,130082.0,130615.0,131153.0,131740.0,132279.0,132813.0,133298.0,133751.0,134194.0,134659.0,135200.0,135751.0,136342.0,136755.0,137131.0,137431.0,137764.0,138082.0,138349.0,138682.0,138999.0,139346.0,139570.0,139760.0,139919.0,140113.0,140335.0,140514.0,140744.0,140954.0,141228.0,141439.0,141648.0,141836.0,142043.0,142252.0,142480.0,142713.0,142966.0,143197.0,143434.0,143631.0,143857.0,144120.0,144394.0,144646.0,144901.0,145212.0,145595.0,145980.0,146350.0,146707.0,147026.0,147384.0,147709.0,148046.0,148434.0,148869.0,149378.0,149882.0,150303,150797,151252,151842,152414,153110,153846,154622,155382,156198,156997,157798,158578,159352,160156,160953,161806,162614,163470,164308,165144,165902,166589,167259,167973,168597,169236,169838,170485,171121,171662,172152,172516,172785,173044,173264,173434,173457,173396,173251,173025,172659,172210,171785,171324,170822,170138,169390,168588,168011,167427,166720,165845,165013,164350,163634,163030,162531,162232,161901,161598,161144,160754,160524,160399,160176,159673,159103,158447,157841,157182,156579,155894,155216,154419,153488,152653,151995,151516,151012,150608,150087,149597,149113,148763,148502,148325,148349,148276,148148,148023,148080,148132,148236,148361,148481,148644,148806,149137,149482,149949,150444,150958,151476,151949,152488,152949,153518,153987,154475,154775,155025,155239,155432,155598,155683,155874,156095,156484,156870,157356,157841,158462,158992,159458,159893,160451,161098,161658,162157,162567,162941,163362,163873,164346,164948,165678,166588,167464,168292,169159,170008,170909,171838,172723,173535,174429,175392,176331,177144,177847,178639,179503,180567,181581,182644,183700,184834,185893,186829,187822,188851,190016,191101,192121,192941,193839,194735,195732,196620,197514,198446,199315,200175,200978,201794,202606,203464,204262,205009,205670
